M: 10
Instance: 1
Algorithm: MOSA
Iteration: 500000
T: 100
Running Time:  179.8 seconds
Required Skills:  0 1 4 9 10 14 16 18 23 24 
Distance; Skill Score; isValid; Team; Skill Counts
11.84; 0.5446880223026778; True; 20 303 546; 1 1 1 2 1 1 1 1 1 1
12.82; 0.5957166199434241; True; 303 374 420; 1 1 1 1 1 1 2 1 1 1
15.84; 0.8603380065709931; True; 168 303 420; 1 1 1 1 1 1 2 2 1 1
19.57; 1.0394141191761364; True; 112 303 374 546; 2 1 1 2 1 1 2 1 1 1
19.6; 1.560623874549929; True; 130 303 480 546; 2 1 1 2 1 2 2 1 1 2
21.59; 1.749427099121748; True; 303 420 480 664; 1 1 1 2 1 3 2 2 2 1
23.46; 1.9499264436679127; True; 303 374 420 594; 2 1 1 2 2 2 3 1 1 2
31.35; 2.2145789535704994; True; 168 303 420 594; 2 1 1 2 2 2 3 2 1 2
35.39; 2.5558196830611912; True; 24 303 420 480 664; 2 1 1 3 1 4 3 2 2 2
41.35; 2.6259294927162946; True; 56 168 303 420 474; 2 1 1 2 2 2 3 3 2 2
49.16; 2.6450290647211423; True; 69 303 420 480 636 664; 2 1 1 2 2 3 2 2 3 2
51.18; 2.879841055986563; True; 69 303 420 480 518 664; 3 1 1 2 3 3 2 2 2 3
54.07; 2.8826952623815973; True; 69 303 420 480 586 664; 3 1 1 2 3 3 3 2 2 2
54.28; 3.0366288953621607; True; 303 320 390 420 480 664; 2 1 1 3 2 4 4 3 2 2
60.87; 3.1112625136590655; True; 56 168 259 303 420 474; 3 1 1 3 3 3 3 3 2 2
72; 3.2412973871099933; True; 303 322 327 420 437 546 578; 3 1 1 4 4 3 3 3 2 2
84.74; 3.3102683666324477; True; 110 252 255 303 341 377 480 546; 4 1 1 3 2 3 3 3 2 5
91.3; 3.6674529528899535; True; 11 165 168 303 420 480 546; 3 1 2 3 3 3 5 3 2 3
113.1; 3.7491950422196725; True; 24 119 168 303 313 480 578 664; 4 1 3 4 2 3 4 2 2 5
116.6; 3.9030899869919438; True; 11 165 168 303 420 480 481 546; 4 1 2 4 3 3 6 3 2 4
140.4; 4.011147360775797; True; 20 100 182 185 202 303 420 480 637 664; 3 1 2 6 3 6 4 2 4 3
163.7; 4.058805486675907; True; 0 54 138 142 254 303 322 420 480 675 693; 4 1 3 4 3 4 5 3 3 2
175.4; 4.079543007402906; True; 121 200 265 303 315 333 420 480 546 658; 5 1 1 5 4 4 4 3 5 4
