M: 12
Instance: 1
Algorithm: MOSA
Iteration: 600000
T: 100
Running Time:  301.4 seconds
Required Skills:  0 1 4 5 9 10 11 14 16 18 23 24 
Distance; Skill Score; isValid; Team; Skill Counts
11.84; 0.4692327425066125; True; 23 367 684; 1 1 1 2 2 1 1 1 1 1 1 1
12.82; 0.5093369580176432; True; 367 459 519; 1 1 1 2 1 1 1 1 2 1 1 1
15.84; 0.6618126855372619; True; 204 367 519; 1 1 1 1 1 1 1 1 2 2 1 1
18.69; 1.0297894708318562; True; 174 310 367 723; 1 1 1 2 2 1 2 2 1 1 1 1
18.76; 1.2469906992415503; True; 367 459 558 684; 2 1 1 2 2 1 1 1 2 1 1 2
20.64; 1.9245893856694174; True; 23 367 684 739; 2 1 1 3 3 2 1 2 2 1 1 2
28.59; 1.9343974407809874; True; 28 204 367 519; 2 1 1 2 2 1 1 2 3 2 1 2
28.69; 1.9566005882131758; True; 204 367 519 821; 2 1 1 2 2 1 1 2 2 3 2 1
29.48; 2.0923696996291206; True; 147 367 459 640 684; 2 1 1 4 3 1 2 1 2 1 2 3
31.34; 2.2837533833325274; True; 1 367 601 684 739; 2 1 2 4 2 1 1 3 3 1 1 3
33.45; 2.3414345245781405; True; 28 367 374 519 850; 2 1 1 3 3 2 1 2 3 1 2 2
33.59; 2.3963737275365062; True; 119 367 519 684 850; 1 1 1 3 3 2 2 2 2 2 3 1
38.15; 2.6771505212734326; True; 226 367 519 723 739; 1 1 1 4 3 3 2 3 3 1 2 2
45.21; 2.694166295933199; True; 94 367 432 519 739; 1 1 1 3 3 3 3 2 2 3 2 1
49.06; 3.2372923375674585; True; 367 508 519 601 667 684; 2 1 1 5 2 3 2 3 3 2 2 3
64.7; 3.416640507338281; True; 131 367 508 519 601 667 684; 2 1 1 6 2 3 2 3 4 2 2 4
87.65; 3.4739246934161567; True; 204 252 298 310 367 519 601; 2 1 2 2 2 1 3 3 4 3 2 3
87.72; 3.55942779975949; True; 85 367 519 593 632 684 857; 3 1 1 6 4 4 2 2 3 2 2 4
89.83; 4.046104787246039; True; 28 93 106 204 310 367 519; 3 1 1 4 4 3 3 4 3 4 3 2
132; 4.106870544478654; True; 106 174 364 367 519 521 611 739 821; 2 1 2 6 5 3 3 4 2 4 3 2
143; 4.116607743988249; True; 117 204 306 367 409 519 558 684 743; 3 1 1 5 4 4 3 3 4 4 2 3
156.3; 4.23578087032756; True; 23 160 316 367 475 519 545 700 730; 2 1 1 8 7 4 4 4 3 3 3 3
159.6; 4.278524964737017; True; 94 160 288 310 312 367 469 521 543 601; 3 1 2 7 5 5 3 3 4 2 3 2
160.1; 4.489958479424835; True; 307 367 415 469 545 684 723 739 768 821; 5 1 1 9 4 4 3 7 3 3 3 3
174.7; 4.671358003443491; True; 23 169 310 361 367 519 545 594 684 730 758; 4 1 2 9 6 3 4 4 3 2 4 4
179.9; 4.73925580326851; True; 147 226 367 436 459 510 519 543 632 684 736; 4 1 2 9 5 3 4 4 4 2 4 4
258.4; 4.7737864449811935; True; 1 81 253 310 357 367 519 594 667 684 730 738 773; 4 1 2 10 6 2 4 4 3 4 4 4
261.5; 5.18098558078673; True; 1 23 169 310 367 519 594 667 684 730 738 758 773; 4 1 4 11 4 3 3 4 4 4 4 5
352.6; 5.304059466217599; True; 14 136 310 335 367 374 457 459 519 542 603 723 738 770; 5 1 2 10 6 6 3 4 6 3 5 5
414.1; 5.334453751150931; True; 138 174 310 339 340 367 435 493 519 639 641 654 684 709 739 741; 6 1 1 11 10 7 5 6 5 3 5 4
424.2; 5.3697722885969625; True; 28 93 119 310 367 371 432 443 454 459 508 545 700 727 836; 6 1 3 9 8 4 3 7 5 3 3 5
437.6; 5.488409688903198; True; 125 222 237 367 408 411 432 459 519 522 523 524 564 600 684 746; 5 1 2 10 6 3 6 5 4 5 4 7
494.8; 5.505963518018126; True; 4 15 43 106 160 205 305 313 339 367 519 601 663 697 792 827; 3 1 3 12 7 6 4 4 5 5 4 5
549.8; 5.506505032404872; True; 39 106 148 204 243 262 283 315 367 417 578 586 601 613 647 684 722; 7 1 2 9 5 3 4 8 5 5 4 5
557.7; 5.700011062322113; True; 49 139 150 165 252 310 335 364 367 459 469 475 558 594 655 817 837; 6 1 3 9 6 6 4 6 5 4 3 7
628.7; 5.82288694783415; True; 18 106 109 190 204 246 288 310 367 417 418 475 601 721 824 850 851 857; 5 1 3 11 7 6 4 5 8 5 4 5
699; 5.871572935545879; True; 148 174 310 367 381 399 408 452 505 519 534 544 656 672 682 689 721 723 788 827; 4 1 4 13 5 5 6 6 4 5 4 6
768.5; 6.080987046910887; True; 94 203 243 262 292 310 367 374 386 407 432 440 475 478 514 519 524 674 687 723; 7 1 3 15 10 7 6 5 6 6 4 5
868.2; 6.090258052931317; True; 109 117 146 174 204 230 305 345 364 367 403 433 459 586 601 636 650 655 699 827 837 847; 5 1 6 15 5 5 4 7 6 5 4 6
924.3; 6.109915863023793; True; 1 7 12 94 136 234 243 254 274 284 367 440 510 534 545 601 654 674 709 770 784; 3 1 4 12 10 4 7 6 6 5 6 7
946; 6.1328997699444825; True; 36 132 133 147 225 362 367 415 434 464 503 519 520 523 555 562 601 686 709 723 815 827 831 842; 5 1 3 16 7 6 5 6 7 3 9 9
951.2; 6.138302698166282; True; 79 147 174 298 340 362 367 391 405 415 480 519 527 538 658 667 684 695 723 765 770 814 815 855; 6 1 3 14 9 5 5 6 6 5 6 8
986.7; 6.14705767102836; True; 49 138 147 148 202 229 310 316 319 367 378 384 415 440 459 561 575 591 646 650 666 723 732 850; 6 1 4 15 5 7 5 5 6 5 5 7
999.3; 6.186108379813205; True; 4 12 16 94 116 124 134 136 160 361 367 374 407 487 539 601 638 684 792 840 843 852; 8 1 3 16 7 5 6 4 8 6 5 9
1040; 6.19200959265367; True; 53 77 187 237 310 338 367 392 399 439 443 458 475 478 519 531 596 670 674 684 705 783 811 838; 7 1 2 18 8 6 8 6 8 7 6 4
1046; 6.222716471147583; True; 14 42 106 117 150 209 303 322 367 398 438 481 493 503 519 606 626 674 684 744 817 823 850; 6 1 3 17 7 6 5 6 8 7 6 5
1084; 6.320354032817672; True; 96 117 213 310 340 367 415 432 452 456 459 526 528 558 594 656 695 699 707 733 739 773 830 840; 9 1 7 12 6 6 6 6 7 4 3 7
1125; 6.537944959291487; True; 108 117 205 310 340 367 380 415 432 452 456 459 526 528 558 594 646 684 695 707 733 739 773 840; 9 1 6 11 8 6 6 8 7 5 4 7
