M: 14
Instance: 1
Algorithm: MOSA
Iteration: 700000
T: 100
Running Time:  443.1 seconds
Required Skills:  0 1 4 5 9 10 11 12 14 15 16 18 23 24 
Distance; Skill Score; isValid; Team; Skill Counts
20.62; 0.3821972103774538; True; 1 372 471 692; 2 1 1 2 1 1 1 3 1 1 1 1 1 1
20.71; 1.0476641946015608; True; 1 14 372 692; 1 1 1 3 2 1 1 2 1 2 2 1 1 2
25.41; 1.1763806922432707; True; 372 480 692 835; 1 1 1 2 2 1 2 2 2 1 1 3 1 1
27.65; 1.7811088357294658; True; 1 137 161 314 372; 3 1 1 2 3 1 1 2 1 2 3 1 1 3
33.48; 1.8810992183890178; True; 1 64 314 372 524; 1 1 1 2 2 1 2 3 2 1 2 2 3 1
34.24; 2.079543007402906; True; 24 118 161 372 829; 2 1 1 4 3 3 1 2 2 1 2 2 1 2
36.4; 2.6824158616773577; True; 1 161 372 480 692; 2 1 1 4 3 2 2 2 2 3 2 2 1 2
49.09; 2.8406705613334093; True; 161 369 372 524 666 692; 2 1 1 5 4 2 2 2 2 1 3 2 2 3
54.04; 3.3205616801952367; True; 1 148 161 372 480 692; 2 1 1 5 4 2 3 2 2 3 2 2 2 3
85.25; 3.4676081055836327; True; 64 161 290 372 480 692 835; 3 1 1 4 3 3 2 3 2 2 2 4 2 2
97.86; 3.505692507412199; True; 24 161 190 330 372 524 608 692; 3 1 1 5 6 4 2 2 3 1 4 2 2 3
100.6; 3.5630061870617933; True; 110 248 314 372 606 692 828 835; 4 1 1 2 4 2 2 2 4 2 3 2 3 2
103.9; 3.6745856023029138; True; 1 95 161 172 372 461 607 829; 3 1 2 6 3 2 2 2 2 2 4 2 2 4
112.5; 3.9751099896861604; True; 1 214 314 315 369 372 524 673 692; 4 1 2 6 4 2 3 3 3 1 2 2 3 5
127.6; 4.114944415712584; True; 66 312 372 379 464 524 638 692 795; 3 1 2 7 3 2 2 2 3 3 3 3 3 3
153.3; 4.279210512601395; True; 4 64 100 144 317 372 464 524 645; 2 1 2 7 4 4 3 4 3 3 2 2 3 2
159.6; 4.4815859363676225; True; 24 107 247 314 372 493 747 749 835; 4 1 2 5 4 4 3 4 3 1 4 3 2 4
197.6; 4.502427119984432; True; 15 118 206 248 372 404 464 480 548 653; 3 1 2 5 3 4 3 3 5 2 4 5 1 3
198.3; 4.610340711452157; True; 1 52 144 149 161 245 372 437 438 598 692; 2 1 2 7 6 3 4 3 3 3 3 3 2 4
211.3; 4.652052848248106; True; 15 84 218 228 369 372 437 584 647 678 692 845; 4 1 2 9 5 3 4 4 3 2 3 2 2 5
227.8; 4.657055852857104; True; 95 161 184 206 369 372 420 599 606 664 708; 5 1 2 8 6 4 1 4 3 2 4 3 3 5
237.8; 4.747100931364987; True; 13 14 64 175 187 247 248 372 464 568 753 865; 4 1 2 8 5 3 2 4 3 3 3 2 3 6
238.3; 4.800579621569129; True; 24 46 66 108 222 253 263 372 524 692 729 749; 2 1 1 8 4 3 3 4 4 2 6 5 5 3
243.4; 4.9641181431514845; True; 1 94 133 347 372 524 614 660 678 692 835 839; 2 1 2 9 5 3 3 5 3 2 5 4 3 5
276.1; 5.197831693328903; True; 66 92 96 110 120 175 314 372 463 464 524 606 608; 4 1 1 8 6 4 3 3 6 3 6 3 4 4
309; 5.216165902285994; True; 24 94 99 107 117 144 357 372 397 419 549 692 731; 4 1 3 11 8 7 3 4 5 1 4 4 2 5
342.5; 5.348499570283838; True; 14 24 35 70 144 347 372 464 513 541 592 731 796 829; 3 1 3 11 5 5 4 5 5 2 5 2 2 6
343; 5.518645524330312; True; 13 107 220 248 339 372 464 480 511 524 537 550 600 859; 4 1 2 11 5 6 4 4 6 2 4 3 4 4
392.4; 5.629511534200454; True; 14 86 207 317 326 372 420 663 692 733 754 794 825 835; 6 1 3 10 7 5 4 3 3 2 5 4 3 7
444.3; 5.676967814294759; True; 1 144 161 225 256 296 358 372 409 429 518 524 675 679 731 859; 3 1 3 13 5 6 3 4 6 4 4 3 3 4
497.2; 5.738225448142504; True; 1 24 99 227 312 326 372 373 412 420 515 611 692 722 753 830; 5 1 3 14 5 4 3 5 4 3 6 2 4 7
499.8; 5.862906213562999; True; 1 64 116 228 231 355 366 372 374 404 463 480 626 731 820 840 846; 2 1 3 14 4 5 4 5 4 4 6 5 3 5
565.4; 6.1156105116743; True; 1 23 107 140 189 248 253 355 369 372 399 401 471 515 692 713 800 840; 5 1 3 12 7 7 3 7 2 4 8 3 4 7
589.2; 6.257438566859814; True; 107 179 189 248 253 366 369 372 471 515 554 568 606 692 713 781 800 840; 4 1 3 12 5 6 4 6 3 4 5 4 5 7
678.7; 6.3643633546157306; True; 1 44 132 134 206 249 369 372 375 399 457 480 524 557 569 592 654 692 747 786; 5 1 4 14 7 4 4 4 5 3 9 4 5 6
730.1; 6.369957607346053; True; 14 29 83 148 286 316 372 412 437 480 488 535 592 595 752 753 754 781 823; 7 1 3 13 8 5 5 5 5 3 3 5 5 7
747; 6.83110156450136; True; 1 144 161 225 256 270 372 409 518 524 647 658 675 679 692 711 725 731 768 859; 5 1 5 14 6 8 5 6 6 4 5 5 4 5
1157; 7.009450895798694; True; 1 58 215 250 314 372 389 459 460 492 497 508 515 518 524 592 607 640 679 731 746 792 814 829 845 864; 11 1 3 19 8 8 6 3 7 4 7 6 6 8
1216; 7.013258665283517; True; 1 129 137 159 161 224 225 253 263 271 323 339 355 372 420 432 492 528 536 551 559 569 606 633 692 822 854; 6 1 3 20 10 4 4 8 7 6 9 5 4 10
1319; 7.04766419460156; True; 1 82 116 142 227 228 231 247 253 317 343 369 372 382 422 464 480 526 581 633 713 731 738 792 841 846 855; 9 1 6 22 6 6 6 7 4 5 5 4 4 8
1333; 7.0700378666077555; True; 66 100 130 137 161 188 219 232 257 355 372 412 417 422 480 496 549 599 606 678 713 775 800 829 859; 7 1 4 12 13 5 3 6 6 5 7 7 8 6
1337; 7.146438135285774; True; 5 41 132 137 164 175 233 248 313 372 396 420 475 479 480 524 551 581 625 663 727 749 781 829 845 846 860; 5 1 3 20 9 7 5 6 9 5 6 7 7 5
1379; 7.1476763242410986; True; 1 71 187 240 293 316 372 377 404 420 454 463 476 524 528 536 571 589 606 607 640 642 648 692 712 717 794 835 839; 4 1 3 24 12 6 7 4 10 5 8 5 8 7
