M: 18
Instance: 1
Algorithm: MOSA
Iteration: 900000
T: 100
Running Time:  1035 seconds
Required Skills:  0 1 2 4 5 7 9 10 11 12 14 15 16 18 22 23 24 26 
Distance; Skill Score; isValid; Team; Skill Counts
40.48; 0.6551384348113807; True; 4 42 163 388 547; 1 1 2 1 4 2 2 2 1 2 3 1 2 1 2 1 1 1
43.07; 0.8894137640427076; True; 163 388 547 612 713; 2 1 2 1 4 1 3 2 1 1 1 1 3 2 3 1 2 1
52.27; 0.8955330394840715; True; 20 173 388 471 723 900; 2 1 4 1 4 2 4 1 2 2 1 2 1 1 1 2 1 1
54.07; 1.8154449162443491; True; 1 163 359 388 547 885; 2 1 4 2 4 1 3 3 1 2 1 2 3 1 2 1 3 1
75.06; 1.976441689378845; True; 144 163 283 385 388 483 723; 2 1 3 2 4 2 2 2 1 3 1 1 3 1 2 2 4 1
77.75; 2.434568904034199; True; 1 20 99 388 547 691 856; 1 1 4 1 5 1 3 3 3 2 2 3 2 2 2 2 2 1
99.77; 2.715418322595056; True; 1 30 44 163 268 388 547 906; 3 1 5 1 7 1 4 4 2 3 2 1 5 1 3 1 4 1
107.7; 3.051923916046107; True; 163 329 388 490 547 612 692 817; 4 1 3 1 5 2 4 3 2 2 2 1 5 2 2 2 4 1
130.1; 3.1027766148834406; True; 163 260 329 388 552 769 850 863; 4 1 5 2 2 3 5 2 3 2 3 1 3 3 1 1 3 1
131.1; 3.2271150825891244; True; 20 192 217 388 547 723 765 786 805; 3 1 4 1 8 1 4 2 3 4 3 1 3 2 2 3 4 1
147.9; 3.2435341018320614; True; 1 127 163 173 244 388 435 634 874; 2 1 5 3 6 2 4 3 1 4 2 3 4 2 1 1 4 1
151.3; 3.3778524190067554; True; 20 30 388 416 464 500 665 723 765; 3 1 6 1 7 1 5 4 3 4 3 2 3 3 2 1 2 1
151.5; 3.5363058723510328; True; 20 173 244 268 388 438 634 750 769; 2 1 5 2 5 3 5 2 3 4 3 3 2 1 2 2 2 1
162.9; 3.7161703478598547; True; 20 25 260 383 388 390 455 462 529 723; 3 1 6 3 5 2 4 4 3 2 2 2 3 2 2 1 4 1
177.5; 3.9788193867328427; True; 1 37 138 163 259 388 438 627 634 850; 5 1 6 1 8 2 5 3 3 3 3 3 4 2 2 1 5 1
180.9; 4.48925516836926; True; 1 20 173 244 359 388 500 723 861 885; 4 1 8 3 7 2 6 3 3 3 2 5 2 2 2 2 4 1
255.8; 4.533009022495486; True; 45 163 184 388 483 500 570 634 702 723 880 900; 5 1 6 1 7 3 4 3 2 4 3 3 5 2 3 3 3 1
268.2; 4.552546547955661; True; 1 15 24 83 99 127 163 247 388 403 723 732 885; 5 1 9 1 9 1 8 6 3 3 2 3 5 3 3 2 5 1
279.4; 4.685741738602264; True; 1 30 160 163 299 388 547 585 759 761 786 788; 2 1 5 2 9 2 8 2 3 5 5 2 4 3 2 4 4 1
299.1; 4.9075725787985505; True; 1 20 173 244 359 388 466 500 628 723 818 861 885; 5 1 8 3 10 2 7 4 3 3 2 5 3 2 2 2 6 1
308.2; 4.968763048197248; True; 1 25 39 134 163 174 359 388 483 500 628 723 861 879; 4 1 7 3 11 2 7 5 2 3 2 4 5 2 3 2 6 1
316.8; 5.132259689531045; True; 1 163 240 306 358 388 413 483 547 583 678 683 850; 3 1 5 2 9 2 7 5 3 3 2 2 6 3 3 3 5 2
348.3; 5.239549720840474; True; 20 33 83 123 163 236 329 388 455 529 547 734 781 867; 6 1 9 1 9 2 8 5 4 2 5 2 4 3 3 3 4 2
374.1; 5.332842266994351; True; 20 127 156 163 217 231 239 388 395 634 717 780 836 885; 4 1 6 1 12 2 7 5 4 2 5 4 2 3 4 4 4 2
376.4; 5.820070034312327; True; 1 20 25 134 218 359 368 388 483 500 628 723 861 885; 5 1 8 4 10 4 7 5 3 3 2 5 5 3 3 2 7 1
492.5; 5.906981153228854; True; 1 9 11 20 42 123 276 388 499 505 537 547 612 643 652 723 781; 4 1 7 1 12 4 6 3 4 3 6 5 6 4 5 3 5 1
513.5; 5.964636703788502; True; 25 42 58 129 163 206 306 314 388 421 484 631 705 723 761 836 885; 4 1 7 2 12 3 7 4 3 5 4 2 5 5 3 3 6 2
519.3; 6.37984917876283; True; 20 81 127 156 163 231 239 260 388 395 634 709 780 833 836 863; 4 1 9 2 12 3 9 6 5 3 6 4 5 3 3 4 4 2
601.1; 6.55509444857832; True; 20 27 37 112 150 163 171 272 388 395 413 452 608 680 867 874 885; 4 1 8 3 9 7 5 4 5 5 3 2 4 5 5 4 4 2
786.6; 6.895367288773361; True; 20 30 79 105 127 156 221 259 272 283 329 388 463 477 494 634 684 850 851 874; 6 1 7 3 10 6 9 3 7 4 8 5 3 5 5 4 4 1
928.2; 6.945862324489617; True; 1 20 25 33 40 80 149 231 256 268 329 341 349 357 388 438 624 637 701 713 723 736 867; 9 1 12 4 16 4 10 6 5 5 4 2 6 5 3 6 8 1
951; 7.014520538757925; True; 20 30 66 145 160 163 297 347 385 388 402 429 505 531 537 547 576 611 817 848 850 856; 4 1 5 2 15 6 10 5 5 4 5 3 6 5 6 4 8 2
1015; 7.088136088700551; True; 129 156 163 173 259 267 321 368 388 494 500 537 634 671 683 694 756 765 780 817 825 830; 4 1 6 3 17 5 10 8 4 4 5 6 6 6 4 4 8 1
1201; 7.127104798364808; True; 20 30 105 127 156 202 250 256 259 283 312 329 337 388 463 555 624 634 684 700 850 851 874 905; 8 1 9 2 12 5 8 6 5 5 8 5 6 4 4 5 5 1
1208; 7.13065534902203; True; 20 22 55 120 127 159 214 240 244 256 262 388 444 446 500 547 565 680 723 761 765 850 874 891; 6 1 8 3 15 5 6 6 7 4 7 2 6 8 4 6 6 1
1256; 7.271144317949078; True; 25 30 68 163 244 295 312 320 327 339 388 489 494 537 547 563 592 623 671 684 710 759 824 830 867; 8 1 8 4 15 6 9 6 2 7 6 3 7 8 7 3 7 1
1268; 7.324282455297693; True; 1 20 30 68 89 127 160 167 187 214 217 266 332 388 421 439 508 537 577 651 669 683 713 817 837 873; 5 1 12 4 21 4 9 7 6 8 4 5 7 7 4 2 8 1
