M: 20
Instance: 1
Algorithm: MOSA
Iteration: 1000000
T: 100
Running Time:  1441 seconds
Required Skills:  0 1 2 4 5 7 9 10 11 12 13 14 15 16 18 20 22 23 24 26 
Distance; Skill Score; isValid; Team; Skill Counts
56.87; 1.004751155591002; True; 20 389 638 727 737 890; 2 1 5 1 5 1 4 1 2 1 1 2 2 1 1 2 2 1 2 1
76.39; 1.2794387882870204; True; 1 164 389 396 541 727 737; 3 1 6 1 6 1 5 2 1 2 1 1 1 4 1 1 2 1 3 1
88.52; 1.8818409683249264; True; 164 360 389 431 549 836 879; 2 1 2 2 4 2 2 3 1 2 2 1 1 4 2 1 2 1 3 1
100.6; 2.0488300865283513; True; 25 102 257 261 307 389 727 871; 3 1 5 1 3 1 5 3 1 2 2 2 1 2 1 2 1 2 4 1
109.9; 2.9774492273823405; True; 1 20 113 389 431 603 786 890; 3 1 6 1 6 1 3 4 2 3 2 1 3 4 1 2 2 1 4 1
117.6; 3.1222158782728258; True; 30 164 245 389 539 687 727 787; 4 1 5 1 5 1 4 3 1 3 1 3 1 4 2 2 4 2 3 1
136.2; 3.7982361763679364; True; 164 355 360 389 431 549 636 788 879; 3 1 3 2 6 2 3 5 1 2 3 3 1 5 2 2 3 2 3 1
164.6; 3.9698816437465005; True; 145 307 330 389 555 638 694 713 879 892; 4 1 4 2 5 2 4 3 2 2 3 2 1 4 2 4 1 3 4 1
176.3; 4.137037454789512; True; 164 238 355 360 389 431 549 636 788 879; 4 1 3 2 7 2 3 5 1 2 3 4 1 5 2 2 3 3 3 1
181.4; 4.188084373714938; True; 113 164 389 431 507 607 691 716 884 890; 4 1 4 1 8 4 5 4 1 2 3 1 2 3 4 3 3 2 5 1
201.4; 4.416640507338281; True; 20 42 44 87 111 174 330 389 549 594 837; 4 1 5 1 8 3 5 4 4 3 2 4 3 3 2 1 2 2 3 1
213.3; 4.738225448142504; True; 20 111 238 359 389 431 509 594 636 679 879; 6 1 5 2 8 3 4 4 1 4 3 2 2 3 2 4 2 2 5 1
