M: 4
Instance: 1
Algorithm: MOSA
Iteration: 200000
T: 100
Running Time:  8.707 seconds
Required Skills:  0 10 23 24 
Distance; Skill Score; isValid; Team; Skill Counts
0.952; 2.141763230275788; True; 80 212; 1 1 1 1
0.99; 2.3630475945210936; True; 150 293; 1 2 1 1
1.982; 2.5393270635393748; True; 80 372; 2 1 1 2
2.861; 2.760497875226527; True; 46 145 202; 2 2 1 2
2.972; 2.862548769524793; True; 150 248 293; 2 3 1 2
6.567; 2.937417581477138; True; 138 150 160 231; 3 3 1 2
6.895; 2.9940090331236133; True; 149 150 184 293; 3 4 1 2
7.69; 3.0874264570362855; True; 45 166 181 369; 3 4 1 3
10.81; 3.1565491513317814; True; 150 187 231 248 394; 4 5 1 3
12.63; 3.1746411926604483; True; 63 236 313 340; 3 2 2 3
15.48; 3.1835545336188615; True; 148 150 181 293; 3 3 2 2
16.37; 3.20194306340165; True; 73 150 283 369; 2 3 2 3
17.56; 3.2237554536572413; True; 6 120 215 285 372; 2 2 3 3
17.61; 3.276921132065774; True; 150 181 248 372; 3 3 2 3
19.8; 3.3334472744967503; True; 149 240 248 262 283; 3 4 2 3
27.44; 3.369030221809153; True; 150 184 248 372 394; 4 4 2 3
32.42; 3.3900514964589874; True; 12 42 236 291 349 372; 4 3 2 5
33.95; 3.4184670209466006; True; 113 120 283 366 369 383; 4 4 2 4
38.68; 3.4500950758716025; True; 108 236 237 340 372 390; 3 3 3 4
41.02; 3.4784221877400805; True; 42 43 63 64 120 340; 3 3 3 5
41.24; 3.485579476984679; True; 120 215 240 248 266 372; 4 3 3 4
47.96; 3.5036545192429593; True; 181 231 313 366 372 386; 5 3 3 4
50.52; 3.510813010512496; True; 166 222 240 372 377 394; 5 4 3 3
56.16; 3.52543355342882; True; 73 93 166 192 196 212 268; 3 3 4 4
58.01; 3.5422027824340283; True; 73 80 113 192 291 333 385; 4 4 3 4
58.75; 3.5601458398490475; True; 72 150 172 181 196 313 369; 5 4 3 4
63.71; 3.617524534886292; True; 73 120 148 150 231 236 282; 4 4 4 4
75.3; 3.6513749439130434; True; 63 93 103 120 150 176 189 385; 4 5 4 4
80.19; 3.6636067081245205; True; 72 120 150 172 196 283 313 369; 5 4 4 5
108.1; 3.679609571779756; True; 149 150 175 265 289 310 372 383; 4 5 4 5
