M: 6
Instance: 1
Algorithm: MOSA
Iteration: 300000
T: 100
Running Time:  51.26 seconds
Required Skills:  0 1 4 10 23 24 
Distance; Skill Score; isValid; Team; Skill Counts
8.886; 0.3951515915045425; True; 83 190 414; 1 1 1 1 1 1
11.85; 0.6114046377115931; True; 13 190 395; 1 1 1 1 1 2
15.68; 0.8057047044338645; True; 188 190 345 395; 2 1 1 1 1 2
16.78; 0.8389749549554679; True; 190 345 395 414; 2 1 1 1 2 1
16.81; 1.0553783313750005; True; 83 190 395 414; 2 1 1 1 2 2
20.65; 1.1408221801093106; True; 190 349 395 414; 1 1 2 1 2 2
20.72; 1.183554533618862; True; 190 225 349 395; 2 1 2 1 1 3
20.76; 1.215373152783422; True; 13 190 349 395; 1 1 2 2 1 3
28.64; 1.2187979981117376; True; 156 190 258 311 414; 3 1 1 3 1 2
29.1; 1.3117538610557542; True; 13 155 165 190 225; 2 1 2 2 1 2
29.38; 1.4097641042663458; True; 44 190 251 287 414; 2 1 2 2 1 3
30.49; 1.4154741681092355; True; 190 207 225 395 414; 3 1 2 1 2 2
33.44; 1.4628470358316736; True; 44 190 287 349 395; 2 1 2 2 1 4
35.05; 1.4902394852462875; True; 13 190 209 225 401; 3 1 2 2 1 3
35.38; 1.5612206789339433; True; 44 190 265 314 414; 2 1 2 2 2 2
42.9; 1.5650209283452936; True; 118 190 225 287 345 349; 2 1 3 2 1 3
43.13; 1.5666731376061165; True; 33 188 190 225 251 395; 3 1 2 1 2 4
43.15; 1.6555225962534177; True; 13 75 129 190 349 395; 1 1 2 3 2 5
44.73; 1.65915528094063; True; 13 126 190 230 288 414; 2 1 2 2 2 3
45.26; 1.6604860157849677; True; 13 83 190 270 349 395; 2 1 2 4 1 5
49.99; 1.6812412373755876; True; 190 207 225 258 395 414; 4 1 2 2 2 2
50.93; 1.712397131406715; True; 13 124 126 190 225 251; 2 1 2 2 2 4
50.97; 1.7480328941301435; True; 107 190 264 301 314 414; 3 1 2 3 2 2
51.1; 1.8324450411741111; True; 107 190 225 246 395 414; 4 1 2 2 2 4
58.89; 1.8949249773595431; True; 130 190 225 287 345 349 401; 3 1 3 2 2 3
68; 1.9060655447552373; True; 48 157 190 265 271 392 414; 3 1 2 4 2 3
68.67; 1.9592799501309388; True; 13 156 157 190 200 287 395; 3 1 2 4 2 4
72.05; 2.001300933020418; True; 0 44 190 202 255 367 414; 3 1 3 3 2 3
78.53; 2.0557604646877348; True; 13 75 118 190 251 270 349 395; 2 1 2 4 3 6
91.24; 2.061452479087193; True; 0 107 157 186 190 287 314 407; 3 1 3 4 2 3
95.91; 2.1280760126687155; True; 65 186 190 246 287 314 345 414; 3 1 3 3 3 3
106.7; 2.154119525515847; True; 190 246 251 314 349 364 381 414; 4 1 3 4 2 4
113.5; 2.1646502159342966; True; 13 17 190 251 286 287 309 349 389; 3 1 3 4 2 6
115.7; 2.1696744340588068; True; 13 39 157 185 190 225 249 287 349; 2 1 4 4 2 5
118.8; 2.2278867046136734; True; 0 83 156 190 207 230 314 414 415; 4 1 3 4 3 3
119.7; 2.2412973871099933; True; 13 129 144 190 246 314 332 349 386; 3 1 3 4 3 4
124.2; 2.26528962586083; True; 13 39 70 157 190 225 249 287 349; 2 1 4 4 3 4
129.9; 2.266231696689893; True; 44 140 190 207 251 338 349 410 414; 3 1 3 4 4 3
135; 2.2725377773752373; True; 190 255 265 283 287 314 328 349 417; 3 1 3 4 3 5
136.3; 2.2810333672477277; True; 12 44 70 146 155 190 314 349 367; 4 1 3 4 3 4
141.6; 2.286905352972375; True; 0 54 156 190 225 255 256 283 349; 3 1 4 5 2 5
144.4; 2.319314304090512; True; 22 69 143 190 225 295 314 332 349 395; 3 1 3 4 4 4
162.9; 2.335858911319818; True; 44 160 185 188 190 297 386 389 395 414; 3 1 4 3 3 6
163.6; 2.345765693114488; True; 13 97 118 190 207 224 225 232 249 256 349; 3 1 4 4 3 4
166.8; 2.3679147387937527; True; 75 83 134 190 230 255 297 301 349 367; 4 1 3 5 3 6
170.4; 2.39375064034808; True; 0 107 112 137 140 188 190 251 306 414; 3 1 5 3 3 5
174.5; 2.485011214578573; True; 59 68 190 193 225 284 287 314 349 395 414; 5 1 5 3 3 7
202.6; 2.496376054012401; True; 0 65 126 190 225 230 287 297 324 362 380 386 392; 4 1 4 5 3 9
211; 2.51241754860084; True; 41 75 176 190 216 226 265 287 297 311 395 414; 4 1 5 4 3 6
233.5; 2.534406899137877; True; 13 17 41 70 88 97 156 188 190 225 366 395; 5 1 4 4 4 6
247.2; 2.5634810853944106; True; 13 53 155 157 190 283 314 318 349 362 369 414; 6 1 4 5 4 5
285.8; 2.6710802327388494; True; 165 190 193 205 225 284 287 314 320 343 349 395 414; 6 1 5 5 4 7
1.228e+04; 2.6745856023029138; True; 13 190 297 332 347 348 349 361 370 376 395 397 416; 6 1 5 4 5 6
