M: 8
Instance: 1
Algorithm: MOSA
Iteration: 400000
T: 100
Running Time:  110.9 seconds
Required Skills:  0 1 4 9 10 18 23 24 
Distance; Skill Score; isValid; Team; Skill Counts
11.84; 0.3743816980508825; True; 19 276 499; 1 1 1 2 1 1 1 1
14.81; 0.4413808849165113; True; 71 157 276; 1 1 1 1 1 2 1 1
18.85; 0.6885977750811696; True; 276 432 545 614; 1 1 1 1 1 2 1 2
19.61; 0.8762178405916421; True; 276 499 546 633; 2 1 1 2 1 1 2 1
20.58; 0.8955882756662632; True; 276 385 399 633; 1 1 1 2 2 1 2 1
21.52; 0.9553990866392672; True; 19 90 276 499; 1 1 1 3 2 1 1 2
22.35; 0.9687163774667855; True; 164 276 340 499; 3 1 1 2 1 1 1 2
22.7; 1.1360860973840978; True; 71 276 280 614; 1 1 1 2 2 2 1 2
24.71; 1.3703280077795101; True; 66 71 157 276; 2 1 1 2 2 2 1 2
29.32; 1.5006480633719121; True; 71 276 280 410 597; 2 1 1 2 3 2 1 2
34.56; 1.5017437296279947; True; 64 110 276 499 530; 2 1 1 2 2 1 2 3
35.31; 1.5211380837040362; True; 276 280 438 499 530; 2 1 2 2 2 1 1 3
37.4; 1.521268875598385; True; 172 276 280 385 633; 2 1 1 2 3 2 2 1
38.03; 1.6514718521990428; True; 19 276 530 597 610; 2 1 2 2 3 1 1 3
40.39; 1.8316778491914665; True; 72 276 340 385 610; 3 1 1 3 2 2 2 2
46.38; 1.8889092592635315; True; 157 276 378 385 499; 3 1 1 2 2 3 2 2
46.85; 2.130655349022031; True; 19 90 276 340 499 528; 2 1 2 3 2 2 2 3
69.25; 2.2878017299302265; True; 64 88 102 276 499 525 530; 4 1 2 4 3 2 1 4
76.07; 2.3079237036118814; True; 19 90 276 340 499 528 553; 2 1 2 4 2 3 2 3
79.38; 2.331832044436249; True; 16 71 102 274 276 469 633; 2 1 2 2 2 3 3 3
88.03; 2.3814760902750303; True; 102 276 410 475 597 610 629; 3 1 2 3 2 3 2 3
91.38; 2.3982873053574014; True; 72 206 276 385 546 623 633; 3 1 2 5 4 1 3 3
91.96; 2.4328090050331683; True; 19 87 110 276 346 398 499 633; 3 1 2 4 3 2 3 2
92.44; 2.449169732165201; True; 157 235 276 340 466 546 604; 4 1 2 2 2 2 3 4
98.88; 2.5438198051426575; True; 88 171 276 340 398 491 546 610; 4 1 3 6 2 2 2 3
106.3; 2.651568738865792; True; 59 121 276 304 343 385 475 491; 3 1 2 4 4 3 3 2
108.1; 2.729488769179561; True; 19 257 276 332 340 385 469 546; 3 1 2 5 4 3 2 4
118.4; 2.744449457446798; True; 276 280 385 399 456 530 545 606; 3 1 3 3 4 2 2 5
124.1; 2.7813963051967905; True; 45 70 71 81 157 234 276 606; 3 1 2 4 4 5 2 3
133; 2.8063156698081135; True; 13 19 81 124 157 257 276 614; 2 1 3 3 4 4 2 4
148; 2.8810421081934052; True; 19 228 276 343 422 432 499 534 610; 4 1 2 6 3 4 3 3
148.5; 2.9248992640142832; True; 71 96 99 276 304 324 499 525 530 633; 4 1 2 4 4 2 4 5
161.4; 2.993744756554462; True; 63 90 276 280 385 419 475 491 597 633; 4 1 3 4 4 2 3 5
176.7; 3.00518051250378; True; 257 276 324 385 414 499 530 551 608 614; 3 1 3 5 3 3 3 5
183.2; 3.19200959265367; True; 38 88 171 206 276 340 385 460 546 610; 4 1 3 6 3 3 5 4
232.3; 3.2464985807958007; True; 19 176 276 285 385 441 606 614 624 633 638; 4 1 4 3 4 3 4 4
244.9; 3.309630167425899; True; 0 11 71 72 157 206 212 276 343 346 499; 5 1 3 5 4 5 4 3
271.3; 3.3224260524059526; True; 37 50 71 181 206 234 267 276 311 340 421 610; 5 1 3 5 3 3 6 5
287.2; 3.4139699717480614; True; 71 88 111 168 276 340 378 411 439 461 499 530 595; 5 1 3 6 5 3 4 7
289.5; 3.4485517392015783; True; 21 80 234 276 286 323 385 530 540 604 610 612 633; 7 1 3 6 4 4 5 4
351; 3.472610197596045; True; 71 105 110 145 156 275 276 301 304 340 361 385 456 573; 4 1 3 6 4 5 5 5
367.5; 3.4956830676169153; True; 19 124 233 246 274 276 323 340 342 426 427 475 530 555 604 633; 4 1 7 7 5 2 4 5
368.8; 3.5225746326911764; True; 104 181 193 276 340 357 385 433 434 456 467 491 499 555 614; 5 1 4 6 3 6 4 5
369.5; 3.570776368794748; True; 6 37 151 185 276 340 400 465 483 491 528 530 546 604 610; 5 1 4 7 4 4 5 5
390.3; 3.63205216670581; True; 21 80 200 234 258 276 280 286 323 385 530 540 610 612 633; 7 1 5 6 5 4 4 4
397; 3.68930885912362; True; 50 80 252 276 385 437 456 469 491 530 533 542 546 562 589 633; 7 1 4 5 5 4 5 6
479; 3.7286783668509136; True; 65 104 181 193 276 340 357 385 433 434 456 467 491 530 555 610 614; 5 1 5 7 4 6 4 6
500.6; 3.7885218872224726; True; 104 181 276 340 357 385 397 434 439 456 467 491 530 541 555 610 614; 7 1 5 8 5 5 4 6
