M: 10
Instance: 1
Algorithm: NSGA-II
Iteration: 500
Population Size: 1000
Running Time:  3.118e+04 seconds
Required Skills:  0 1 4 9 10 14 16 18 23 24 
Distance; Skill Score; isValid; Team; Skill Counts
11.84; 0.5446880223026778; True; 20 303 546; 1 1 1 2 1 1 1 1 1 1
12.82; 0.5957166199434241; True; 303 374 420; 1 1 1 1 1 1 2 1 1 1
15.84; 0.8603380065709931; True; 168 303 420; 1 1 1 1 1 1 2 2 1 1
16.6; 1.0659529803138703; True; 96 303 513 594; 1 1 1 2 1 2 1 1 1 2
16.79; 1.087426457036285; True; 110 303 341 689; 2 1 1 1 1 1 2 1 1 2
18.64; 1.1017470739463668; True; 301 303 341 546; 2 1 1 1 1 2 1 1 1 2
18.71; 1.396896449142524; True; 20 303 448 546; 1 1 1 3 2 1 2 1 1 2
19.54; 1.666237095895804; True; 20 202 303 546; 1 1 1 3 2 2 2 1 1 2
20.63; 1.7058637122839198; True; 303 480 546 594; 2 1 1 2 1 3 2 1 1 2
20.64; 1.9060116252714128; True; 20 303 546 594; 2 1 1 3 2 2 2 1 1 2
23.46; 1.9499264436679127; True; 303 374 420 594; 2 1 1 2 2 2 3 1 1 2
26.61; 1.9760747316198746; True; 20 142 303 448 546; 1 1 1 4 2 2 2 2 1 2
27.31; 2.106530853822381; True; 20 202 303 448 546; 1 1 1 4 3 2 3 1 1 3
27.57; 2.197004728023046; True; 0 130 303 341 546; 3 1 1 2 2 2 3 1 1 3
28.37; 2.342225229360791; True; 130 303 341 480 546; 3 1 1 2 2 3 3 1 1 3
28.46; 2.3494717992143856; True; 20 202 303 546 578; 1 1 2 3 3 2 3 1 1 3
29.51; 2.3729120029701063; True; 19 303 420 480 664; 2 1 1 2 1 3 3 2 2 2
30.26; 2.4553017716570764; True; 20 202 303 374 546; 2 1 2 3 2 2 3 1 1 3
30.27; 2.4915017662373264; True; 20 202 303 546 594; 2 1 1 4 3 3 3 1 1 3
30.57; 2.5892792212359677; True; 20 303 546 578 594; 2 1 2 3 3 2 3 1 1 3
31.32; 2.600428325732131; True; 20 303 480 546 594; 2 1 2 3 2 3 3 1 1 3
33.34; 2.7252580663599613; True; 303 341 420 480 664; 2 1 1 2 2 4 3 2 2 2
34.28; 2.7296506683359203; True; 20 303 546 578 664; 2 1 2 3 2 2 2 2 2 2
35.25; 2.7669330938372836; True; 20 303 420 480 664; 1 1 2 3 2 3 3 2 2 2
35.87; 2.813247300897605; True; 303 420 480 594 664; 2 1 1 3 2 4 3 2 2 2
