M: 12
Instance: 1
Algorithm: NSGA-II
Iteration: 600
Population Size: 1000
Running Time:  4.415e+04 seconds
Required Skills:  0 1 4 5 9 10 11 14 16 18 23 24 
Distance; Skill Score; isValid; Team; Skill Counts
11.84; 0.4692327425066125; True; 23 367 684; 1 1 1 2 2 1 1 1 1 1 1 1
12.82; 0.5093369580176432; True; 367 459 519; 1 1 1 2 1 1 1 1 2 1 1 1
15.84; 0.6618126855372619; True; 204 367 519; 1 1 1 1 1 1 1 1 2 2 1 1
17.13; 0.8057726319356693; True; 1 117 310 367; 1 1 1 2 1 1 2 2 1 1 1 1
18.02; 0.8140477209955996; True; 117 367 601 815; 1 1 1 3 1 1 1 2 1 1 1 2
18.63; 1.0145205387579246; True; 160 364 367 684; 2 1 1 3 2 1 1 1 1 1 1 2
18.64; 1.0659529803138703; True; 364 367 415 684; 2 1 1 3 1 1 1 2 1 1 1 2
18.65; 1.1341771075767664; True; 23 174 310 367; 1 1 1 2 3 1 2 2 1 1 1 1
18.71; 1.3653007486379867; True; 23 367 558 684; 1 1 1 2 3 2 1 1 2 1 1 2
18.75; 1.4375920322539617; True; 23 174 367 684; 1 1 1 3 3 1 2 2 1 2 1 1
19.54; 1.6407794773448572; True; 23 246 367 684; 1 1 1 2 3 2 1 2 2 1 1 2
19.62; 1.6628522332647968; True; 23 310 367 684; 2 1 1 2 3 1 2 2 1 1 2 1
20.63; 1.7052648623174047; True; 367 601 684 739; 2 1 1 3 2 1 1 3 2 1 1 2
20.64; 1.9245893856694174; True; 23 367 684 739; 2 1 1 3 3 2 1 2 2 1 1 2
23.46; 1.9604232070778291; True; 367 459 519 739; 2 1 1 3 2 2 1 2 3 1 1 2
23.56; 2.024895960107486; True; 367 519 601 684; 1 1 1 3 2 1 2 3 2 2 2 1
23.71; 2.125806458139527; True; 367 459 519 684; 2 1 1 3 2 1 2 2 2 2 2 1
24.69; 2.2442771208018435; True; 23 367 519 684; 1 1 1 3 3 2 2 2 2 2 2 1
26.61; 2.2878017299302265; True; 23 174 367 558 684; 1 1 1 3 4 2 2 2 2 2 1 2
27.44; 2.3864989655506523; True; 1 117 160 367 684; 2 1 1 4 2 2 2 2 2 2 1 2
27.7; 2.3960248966085924; True; 1 310 367 415 684; 3 1 1 3 2 1 2 3 2 1 2 2
28.24; 2.5375672571526753; True; 117 160 367 601 684; 2 1 1 4 2 2 2 3 2 2 1 2
29.44; 2.6009728956867484; True; 310 367 601 684 739; 3 1 1 3 3 1 2 4 2 1 2 2
29.53; 2.700530656978591; True; 23 174 367 684 739; 2 1 1 4 4 2 2 3 2 2 1 2
30.36; 2.7053504628857112; True; 23 226 367 684 739; 2 1 1 4 4 2 2 3 2 1 2 2
30.39; 2.7769915848564057; True; 23 310 367 684 723; 2 1 2 3 3 2 2 2 2 1 2 2
30.41; 2.8249714611236936; True; 23 310 367 684 739; 3 1 1 3 4 2 2 3 2 1 2 2
34.14; 2.8780044702680243; True; 310 367 519 601 739; 2 1 1 3 3 2 2 4 3 1 2 2
34.25; 2.9067120569429648; True; 310 367 459 519 739; 3 1 1 3 3 2 2 3 3 1 2 2
34.4; 2.979184033674418; True; 367 459 519 601 684; 2 1 2 4 2 1 2 3 3 2 2 2
35.36; 3.0549958615291413; True; 367 415 519 601 684; 2 1 1 4 2 2 2 4 3 2 2 2
36.21; 3.0588054866759062; True; 1 367 519 684 739; 2 1 1 4 3 2 2 3 3 2 2 2
36.21; 3.1592663310934945; True; 367 519 601 684 739; 2 1 1 4 3 2 2 4 3 2 2 2
36.34; 3.188084373714938; True; 367 459 519 684 739; 3 1 1 4 3 2 2 3 3 2 2 2
36.47; 3.198657086954423; True; 23 367 459 519 684; 2 1 2 4 3 2 2 2 3 2 2 2
37.21; 3.259354927308035; True; 23 367 519 684 739; 2 1 1 4 4 3 2 3 3 2 2 2
39.06; 3.262688344301697; True; 23 174 310 367 601 684; 2 1 2 4 4 1 3 4 2 2 2 2
39.19; 3.2913688504515832; True; 23 174 310 367 459 684; 3 1 2 4 4 1 3 3 2 2 2 2
40.25; 3.4281347940287894; True; 23 174 310 367 684 723; 2 1 2 4 4 2 3 3 2 2 2 2
42.95; 3.504062882678692; True; 23 310 367 601 684 739; 3 1 2 4 4 2 2 4 3 1 2 3
43.17; 3.5456781497920264; True; 23 310 367 684 723 739; 3 1 2 4 4 3 2 3 3 1 2 3
46.05; 3.6257239095257567; True; 310 367 459 519 601 684; 3 1 2 4 3 1 3 4 3 2 3 2
47.13; 3.659440781870318; True; 1 310 367 519 684 739; 3 1 1 4 4 2 3 4 3 2 3 2
47.99; 3.732393759822969; True; 310 367 519 601 684 739; 3 1 1 4 4 2 3 5 3 2 3 2
48.13; 3.7394932307816156; True; 310 367 459 519 684 739; 4 1 1 4 4 2 3 4 3 2 3 2
48.95; 3.8210547550468874; True; 23 310 367 519 601 684; 2 1 2 4 4 2 3 4 3 2 3 2
49.09; 3.849726444196328; True; 23 310 367 459 519 684; 3 1 2 4 4 2 3 3 3 2 3 2
50.04; 3.871047261305499; True; 23 174 310 367 459 558 684; 3 1 2 4 5 2 3 3 3 2 2 3
50.86; 3.881840968324928; True; 23 367 519 601 684 739; 2 1 2 5 4 3 2 4 4 2 2 3
50.97; 3.910571048481259; True; 23 367 459 519 684 739; 3 1 2 5 4 3 2 3 4 2 2 3
52.84; 3.9191827290425003; True; 23 174 226 367 601 684 739; 2 1 2 6 5 2 3 5 3 2 2 3
53.52; 3.9715077817112565; True; 23 174 246 310 367 459 684; 3 1 2 4 5 2 3 4 3 2 2 3
53.65; 3.9843922785242647; True; 23 174 246 310 367 684 723; 2 1 2 4 5 3 3 4 3 2 2 3
53.82; 4.047274867384179; True; 23 174 310 367 601 684 739; 3 1 2 5 5 2 3 5 3 2 2 3
53.93; 4.054613054556888; True; 23 174 310 367 459 684 739; 4 1 2 5 5 2 3 4 3 2 2 3
55.01; 4.116607743988249; True; 23 174 310 367 684 723 739; 3 1 2 5 5 3 3 4 3 2 2 3
60.67; 4.181271771559461; True; 310 367 459 519 601 640 684; 3 1 2 5 4 2 3 4 4 2 3 3
61.75; 4.189209489582306; True; 23 174 310 367 519 601 684; 2 1 2 5 5 2 4 5 3 3 3 2
61.87; 4.250663919463244; True; 174 367 459 519 601 684 739; 3 1 2 6 4 2 3 5 4 3 2 3
62.67; 4.254306332331286; True; 1 310 367 519 601 684 739; 3 1 2 5 4 2 3 5 4 2 3 3
62.67; 4.334453751150931; True; 310 367 459 519 601 684 739; 4 1 2 5 4 2 3 5 4 2 3 3
63.59; 4.347330015316951; True; 23 310 367 459 519 601 684; 3 1 3 5 4 2 3 4 4 2 3 3
64.76; 4.355259905527379; True; 23 174 367 459 519 684 739; 3 1 2 6 5 3 3 4 4 3 2 3
65.45; 4.3560258571931225; True; 23 246 310 367 459 519 684; 3 1 2 4 5 3 3 4 4 2 3 3
65.45; 4.431846045698726; True; 23 310 367 519 601 684 739; 3 1 2 5 5 3 3 5 4 2 3 3
65.57; 4.439016728387513; True; 23 310 367 459 519 684 739; 4 1 2 5 5 3 3 4 4 2 3 3
66.67; 4.450864692379766; True; 23 310 367 519 684 723 739; 3 1 2 5 5 4 3 4 4 2 3 3
68.45; 4.472756449317212; True; 23 174 310 367 459 601 684 739; 4 1 3 6 5 2 3 5 4 2 2 4
70.35; 4.482158695411276; True; 23 174 246 310 367 684 723 739; 3 1 2 5 6 4 3 5 4 2 2 4
70.49; 4.534787358629492; True; 23 174 310 367 601 684 723 739; 3 1 3 6 5 3 3 5 4 2 2 4
70.6; 4.541828766781312; True; 23 174 310 367 459 684 723 739; 4 1 3 6 5 3 3 4 4 2 2 4
73.73; 4.546666025070184; True; 174 310 367 459 519 558 601 684; 3 1 2 5 5 2 4 5 4 3 3 3
74.48; 4.547528576459782; True; 174 310 367 459 519 601 640 684; 3 1 2 6 5 2 4 5 4 3 3 3
76.51; 4.683407299132095; True; 174 310 367 459 519 601 684 739; 4 1 2 6 5 2 4 6 4 3 3 3
77.38; 4.713490543093942; True; 23 174 310 367 459 519 601 684; 3 1 3 6 5 2 4 5 4 3 3 3
80.24; 4.767823498007517; True; 23 174 310 367 519 601 684 739; 3 1 2 6 6 3 4 6 4 3 3 3
80.36; 4.792111409087168; True; 23 174 310 367 459 519 684 739; 4 1 2 6 6 3 4 5 4 3 3 3
82.07; 4.830203598925704; True; 23 310 367 459 519 601 684 739; 4 1 3 6 5 3 3 5 5 2 3 4
84.13; 4.84210976344061; True; 23 310 367 519 601 684 723 739; 3 1 3 6 5 4 3 5 5 2 3 4
84.25; 4.849235091314722; True; 23 310 367 459 519 684 723 739; 4 1 3 6 5 4 3 4 5 2 3 4
86.9; 4.874655732598101; True; 23 174 226 310 367 601 684 723 739; 3 1 3 7 6 3 4 6 4 2 3 4
87.08; 4.88024177589548; True; 23 147 174 310 367 601 684 723 739; 3 1 3 7 6 3 4 5 4 2 3 5
87.15; 4.887335930399167; True; 23 147 174 310 367 459 684 723 739; 4 1 3 7 6 3 4 4 4 2 3 5
87.88; 4.898944466866509; True; 23 174 226 310 367 459 684 723 739; 4 1 3 7 6 3 4 5 4 2 3 4
92.53; 4.927678264137992; True; 23 117 174 310 367 459 601 684 739; 4 1 3 7 5 3 4 6 4 3 2 4
93.1; 4.937718443617264; True; 174 310 367 459 519 601 632 684 739; 4 1 3 7 5 2 4 6 4 3 3 4
93.12; 4.9771289005806825; True; 147 174 310 367 459 519 601 684 739; 4 1 2 7 6 2 5 6 4 3 4 4
