M: 16
Instance: 1
Algorithm: NSGA-II
Iteration: 800
Population Size: 1000
Running Time:  9.05e+04 seconds
Required Skills:  0 1 4 5 9 10 11 12 14 15 16 18 22 23 24 26 
Distance; Skill Score; isValid; Team; Skill Counts
22.67; -0.6424462802569195; True; 1 152 373 695; 2 1 1 3 2 1 1 2 1 1 2 1 1 1 2 1
24.56; -0.4878494630779677; True; 1 152 373 527; 1 1 1 3 2 2 1 2 1 1 3 1 1 1 2 1
33.45; 0.4312028845565159; True; 1 152 315 373 695; 3 1 1 3 3 1 2 2 2 1 2 1 1 2 2 1
34.47; 0.4416951356407175; True; 1 152 162 373 695; 3 1 1 4 3 2 1 2 1 2 3 1 1 1 3 1
34.48; 0.4784221877400814; True; 1 152 373 422 695; 3 1 1 4 2 2 1 3 2 1 3 1 1 1 3 1
35.31; 0.6085260335771938; True; 1 152 373 609 695; 2 1 1 4 3 1 1 2 2 2 2 1 2 2 2 1
37.31; 0.7085908451503435; True; 1 152 315 373 527; 2 1 1 3 3 2 2 2 2 1 3 1 1 2 2 1
38.26; 0.8344842853348045; True; 1 29 152 373 527; 2 1 1 4 3 2 1 3 2 1 4 1 2 1 3 1
39.43; 1.2808059283936668; True; 1 152 373 527 695; 2 1 1 4 3 2 2 2 2 1 3 2 2 2 2 1
47.01; 1.420945405921973; True; 1 119 152 162 373 695; 3 1 1 5 3 3 2 2 2 2 3 2 1 1 3 1
49.11; 1.5145477526602864; True; 1 152 162 373 609 695; 3 1 1 5 4 2 1 2 2 3 3 1 2 2 3 1
49.12; 1.597804842404292; True; 1 152 373 422 609 695; 3 1 1 5 3 2 1 3 3 2 3 1 2 2 3 1
52.8; 1.6667986836661743; True; 1 24 152 373 609 695; 2 1 2 5 4 2 1 3 2 2 3 1 2 2 3 1
52.96; 1.7155855518931968; True; 1 29 152 373 527 849; 3 1 1 5 4 3 1 3 2 2 4 1 3 1 4 1
53.16; 1.7166709755601364; True; 1 19 29 373 527 849; 2 1 1 5 4 2 2 3 2 3 3 1 3 1 3 1
53.17; 1.9345994382180738; True; 1 152 315 373 527 695; 3 1 1 4 4 2 3 2 3 1 3 2 2 3 2 1
55.08; 1.955832010232422; True; 1 152 373 527 610 695; 2 1 2 5 3 2 2 2 3 1 4 2 2 2 3 1
55.15; 2.096214585346406; True; 1 152 373 422 527 695; 3 1 1 5 3 3 2 3 3 1 4 2 2 2 3 1
56; 2.1376705372367546; True; 1 152 162 373 527 695; 3 1 1 5 4 3 2 2 2 2 4 2 2 2 3 1
57.04; 2.1778249718646823; True; 1 29 152 373 527 695; 3 1 1 5 4 2 2 3 3 1 4 2 3 2 3 1
57.11; 2.211921084308509; True; 1 152 373 527 695 849; 3 1 1 5 4 3 2 2 2 2 3 2 3 2 3 1
61.98; 2.227629649571009; True; 1 19 162 373 422 609 695; 3 1 1 6 4 2 2 3 3 4 3 1 2 2 3 1
63.69; 2.238547887681328; True; 1 152 373 483 527 695; 2 1 1 5 4 3 3 2 3 2 3 3 2 2 2 1
63.94; 2.2607866686549762; True; 1 152 162 176 373 609 695; 3 1 1 6 5 2 2 2 3 3 3 2 2 2 3 1
63.95; 2.316599302093861; True; 1 152 176 373 422 609 695; 3 1 1 6 4 2 2 3 4 2 3 2 2 2 3 1
64.01; 2.36716948853468; True; 1 119 152 162 373 609 695; 3 1 1 6 4 3 2 2 3 3 3 2 2 2 3 1
64.56; 2.3998467127129217; True; 1 119 152 373 422 609 695; 3 1 1 6 3 3 2 3 4 2 3 2 2 2 3 1
67.56; 2.412964271996662; True; 1 24 152 176 373 609 695; 2 1 2 6 5 2 2 3 3 2 3 2 2 2 3 1
68.38; 2.42209716313171; True; 1 24 152 315 373 609 695; 3 1 2 5 5 2 2 3 3 2 3 1 2 3 3 1
68.49; 2.4473131088235682; True; 1 119 152 373 467 609 695; 3 1 2 6 3 2 2 3 3 2 3 2 2 2 3 1
68.76; 2.4480876666923415; True; 1 162 293 373 422 527 695; 3 1 1 5 4 3 2 3 3 2 4 2 2 2 3 1
68.96; 2.486146996806573; True; 1 152 315 373 527 695 863; 3 1 2 4 4 2 3 3 3 1 3 2 2 4 2 1
69; 2.5232260419657013; True; 1 19 315 373 467 527 695; 3 1 2 5 4 1 4 3 3 2 3 2 2 3 2 1
70.05; 2.5995555909859807; True; 1 19 315 373 422 527 695; 3 1 1 5 4 2 4 3 4 2 3 2 2 3 2 1
70.84; 2.6976651626476738; True; 1 152 315 373 467 527 695; 4 1 2 5 4 2 3 3 3 1 4 2 2 3 3 1
72.59; 2.7746629225378214; True; 1 152 162 373 422 527 695; 4 1 1 6 4 4 2 3 3 2 5 2 2 2 4 1
72.69; 2.7772817916710153; True; 1 19 162 373 422 527 695; 3 1 1 6 4 3 3 3 3 3 4 2 2 2 3 1
73.73; 2.867231714518894; True; 1 152 373 422 527 609 695; 3 1 1 6 4 3 2 3 4 2 4 2 3 3 3 1
74.64; 2.914766136925852; True; 1 152 373 467 527 609 695; 3 1 2 6 4 2 2 3 3 2 4 2 3 3 3 1
75.68; 2.9332341287148083; True; 1 29 152 373 527 695 849; 4 1 1 6 5 3 2 3 3 2 4 2 4 2 4 1
77.46; 2.9636461864848442; True; 1 24 152 373 527 609 695; 2 1 2 6 5 3 2 3 3 2 4 2 3 3 3 1
79.55; 2.9706722426897194; True; 1 24 152 373 527 695 849; 3 1 2 6 5 4 2 3 2 2 4 2 3 2 4 1
79.58; 2.9795938958489305; True; 1 119 152 162 373 422 609 695; 4 1 1 7 4 4 2 3 4 3 4 2 2 2 4 1
83.78; 2.992155711042617; True; 1 19 162 373 422 609 685 695; 3 1 2 7 5 2 2 3 3 4 3 2 3 2 3 1
85.24; 3.0253058652647695; True; 1 24 152 176 315 373 518 695; 3 1 2 6 5 3 3 3 3 2 4 2 2 2 4 1
85.28; 3.0484418035504053; True; 1 152 373 467 483 527 695; 3 1 2 6 4 3 3 3 3 2 4 3 2 2 3 1
85.6; 3.077367905284156; True; 1 119 152 162 373 467 609 695; 4 1 2 7 4 3 2 3 3 3 4 2 2 2 4 1
86.87; 3.1003705451175634; True; 1 19 315 373 422 527 695 863; 3 1 2 5 4 2 4 4 4 2 3 2 2 4 2 1
87.59; 3.164055291893451; True; 1 19 121 315 373 467 527 695; 3 1 2 6 5 2 4 4 3 2 4 2 2 3 3 1
89.5; 3.1942367487238297; True; 1 19 315 373 422 527 610 695; 3 1 2 6 4 2 4 3 5 2 4 2 2 3 3 1
90.35; 3.2377949932739227; True; 1 19 315 373 467 527 695 751; 4 1 2 6 5 2 4 3 4 2 4 2 2 3 3 1
90.42; 3.256958152560932; True; 1 19 162 315 373 422 527 695; 4 1 1 6 5 3 4 3 4 3 4 2 2 3 3 1
