M: 20
Instance: 1
Algorithm: NSGA-II
Iteration: 1000
Population Size: 1000
Running Time:  1.263e+05 seconds
Required Skills:  0 1 2 4 5 7 9 10 11 12 13 14 15 16 18 20 22 23 24 26 
Distance; Skill Score; isValid; Team; Skill Counts
33.53; -0.3748934245965323; True; 174 307 389 727 906; 2 1 3 1 2 1 3 1 1 2 1 1 1 1 1 1 1 2 1 1
34.28; 0.5207454715194828; True; 164 389 502 785 879; 1 1 3 1 3 1 2 2 1 2 1 2 1 2 3 1 1 1 2 1
38.53; 0.845160077651947; True; 1 164 389 507 727; 2 1 4 1 4 1 3 1 1 2 1 2 1 3 2 1 1 1 3 1
39.2; 0.9785000693114583; True; 30 164 389 502 906; 2 1 4 1 3 1 3 2 1 3 1 2 1 2 1 2 1 1 2 1
40.36; 1.0663259253620367; True; 1 30 113 164 389; 2 1 5 1 4 1 2 2 1 4 2 1 1 3 1 1 1 1 3 1
41.03; 1.2526103405673723; True; 164 389 502 727 879; 2 1 4 1 3 1 3 2 2 2 1 2 1 2 3 1 1 1 2 1
44.99; 1.7570922201189312; True; 30 100 164 389 594 890; 3 1 4 1 4 1 4 3 1 3 1 1 1 2 2 2 2 1 3 1
48.02; 2.001300933020417; True; 164 389 502 507 785 879; 1 1 3 1 4 2 3 2 1 2 2 3 1 3 4 2 1 1 3 1
50.86; 2.342027688087473; True; 30 164 389 549 594 890; 3 1 4 1 4 1 4 3 1 3 1 2 1 3 2 2 3 1 3 1
54.05; 2.3465485585484736; True; 30 164 389 549 890 906; 3 1 4 1 4 1 4 3 1 3 1 2 1 3 1 2 3 2 3 1
54.75; 2.6864575104691113; True; 164 389 502 507 727 879; 2 1 4 1 4 2 4 2 2 2 2 3 1 3 4 2 1 1 3 1
57.91; 2.813380806733857; True; 30 164 389 549 879 890; 3 1 4 1 4 1 4 3 1 3 2 2 1 4 2 2 3 1 4 1
61.05; 2.821448019017531; True; 1 30 113 164 389 549; 2 1 5 1 5 1 3 3 2 4 2 2 1 4 2 1 2 2 3 1
62.54; 3.0136796972911917; True; 30 164 389 502 549 879; 2 1 4 1 4 1 4 3 2 3 2 3 1 4 3 2 2 1 3 1
64.64; 3.0145205387579246; True; 30 164 353 389 549 594 890; 4 1 5 1 5 1 4 3 1 3 2 2 1 3 2 3 3 1 4 1
65.76; 3.0281644194244706; True; 30 113 164 219 389 502; 3 1 5 1 4 2 3 3 2 3 3 2 1 3 3 2 1 1 3 1
