M: 12
Instance: 1
Algorithm: SPEA2
Iteration: 600
Population Size: 1000
Running Time:  2.136e+04 seconds
Required Skills:  0 1 4 5 9 10 11 14 16 18 23 24 
Distance; Skill Score; isValid; Team; Skill Counts
11.84; 0.4692327425066125; True; 23 367 684; 1 1 1 2 2 1 1 1 1 1 1 1
12.82; 0.5093369580176432; True; 367 459 519; 1 1 1 2 1 1 1 1 2 1 1 1
18.65; 1.1341771075767664; True; 23 174 310 367; 1 1 1 2 3 1 2 2 1 1 1 1
18.75; 1.4375920322539617; True; 23 174 367 684; 1 1 1 3 3 1 2 2 1 2 1 1
19.54; 1.6407794773448572; True; 23 246 367 684; 1 1 1 2 3 2 1 2 2 1 1 2
19.62; 1.6628522332647968; True; 23 310 367 684; 2 1 1 2 3 1 2 2 1 1 2 1
20.63; 1.7052648623174047; True; 367 601 684 739; 2 1 1 3 2 1 1 3 2 1 1 2
23.56; 2.024895960107486; True; 367 519 601 684; 1 1 1 3 2 1 2 3 2 2 2 1
24.69; 2.2442771208018435; True; 23 367 519 684; 1 1 1 3 3 2 2 2 2 2 2 1
28.55; 2.515741416669366; True; 23 174 367 459 684; 2 1 2 4 3 1 2 2 2 2 1 2
37.21; 3.259354927308035; True; 23 367 519 684 739; 2 1 1 4 4 3 2 3 3 2 2 2
49.09; 3.849726444196328; True; 23 310 367 459 519 684; 3 1 2 4 4 2 3 3 3 2 3 2
