M: 14
Instance: 1
Algorithm: SPEA2
Iteration: 700
Population Size: 1000
Running Time:  3.375e+04 seconds
Required Skills:  0 1 4 5 9 10 11 12 14 15 16 18 23 24 
Distance; Skill Score; isValid; Team; Skill Counts
15.16; 0.2372923375674585; True; 118 161 372 859; 1 1 1 2 1 2 1 2 1 1 1 1 1 1
17.13; 0.5318619490958092; True; 1 118 314 372; 1 1 1 2 1 1 2 2 2 1 1 1 1 1
18.81; 1.3001605369513527; True; 1 161 372 692; 2 1 1 3 2 1 1 2 1 2 2 1 1 2
19.54; 1.369586890736345; True; 24 248 372 692; 1 1 1 2 3 2 1 2 2 1 2 1 1 2
21.56; 1.4545399849648195; True; 1 161 372 524; 1 1 1 3 2 2 1 2 1 2 3 1 1 2
24.67; 1.7673785241141804; True; 1 118 161 372 606; 1 1 1 4 2 2 1 2 2 3 2 1 1 2
25.33; 2.1274287778515983; True; 1 118 161 314 372; 2 1 1 3 2 2 2 2 2 2 2 1 1 2
31.25; 2.5232260419657013; True; 1 161 372 420 524; 2 1 1 4 2 3 1 3 2 2 4 1 1 3
31.55; 2.5626496722119168; True; 1 314 372 420 524; 2 1 1 3 2 2 2 3 3 1 3 1 2 2
32.41; 2.6502103546603593; True; 1 161 314 372 524; 2 1 1 3 3 2 2 2 2 2 3 1 2 2
34.58; 2.844787718827847; True; 1 372 420 524 692; 2 1 1 4 2 2 2 3 3 1 3 2 2 2
34.92; 2.9988258190402863; True; 1 118 161 314 372 420; 3 1 1 4 2 3 2 3 3 2 3 1 1 3
39.37; 3.3188977146274876; True; 1 161 314 372 420 692; 4 1 1 4 3 2 2 3 3 2 3 1 2 3
42.57; 3.3273589343863303; True; 1 118 161 372 420 524; 2 1 1 5 2 4 2 3 3 2 4 2 1 3
42.88; 3.44870631990508; True; 1 24 248 314 372 692; 2 1 2 3 4 2 2 3 3 2 3 1 2 3
45.02; 3.4714384073892983; True; 1 161 314 372 420 524; 3 1 1 4 3 3 2 3 3 2 4 1 2 3
46.43; 3.493179120682516; True; 1 314 372 420 524 692; 3 1 1 4 3 2 3 3 4 1 3 2 3 2
47.29; 3.5853479110945905; True; 1 161 314 372 524 692; 3 1 1 4 4 2 3 2 3 2 3 2 3 2
48.11; 3.746712022516661; True; 1 161 372 420 524 692; 3 1 1 5 3 3 2 3 3 2 4 2 2 3
62.88; 4.299942900022767; True; 1 161 314 372 420 524 692; 4 1 1 5 4 3 3 3 4 2 4 2 3 3
65.59; 4.413299764081252; True; 1 24 248 314 372 524 692; 2 1 2 4 5 3 3 3 4 2 4 2 3 3
