M: 16
Instance: 1
Algorithm: SPEA2
Iteration: 800
Population Size: 1000
Running Time:  5.419e+04 seconds
Required Skills:  0 1 4 5 9 10 11 12 14 15 16 18 22 23 24 26 
Distance; Skill Score; isValid; Team; Skill Counts
22.67; -0.6424462802569195; True; 1 152 373 695; 2 1 1 3 2 1 1 2 1 1 2 1 1 1 2 1
24.56; -0.4878494630779677; True; 1 152 373 527; 1 1 1 3 2 2 1 2 1 1 3 1 1 1 2 1
33.45; 0.4312028845565159; True; 1 152 315 373 695; 3 1 1 3 3 1 2 2 2 1 2 1 1 2 2 1
34.47; 0.4416951356407175; True; 1 152 162 373 695; 3 1 1 4 3 2 1 2 1 2 3 1 1 1 3 1
35.31; 0.6085260335771938; True; 1 152 373 609 695; 2 1 1 4 3 1 1 2 2 2 2 1 2 2 2 1
37.31; 0.7085908451503435; True; 1 152 315 373 527; 2 1 1 3 3 2 2 2 2 1 3 1 1 2 2 1
38.27; 0.8344842853348045; True; 1 29 152 373 527; 2 1 1 4 3 2 1 3 2 1 4 1 2 1 3 1
39.43; 1.2808059283936668; True; 1 152 373 527 695; 2 1 1 4 3 2 2 2 2 1 3 2 2 2 2 1
53.17; 1.9345994382180738; True; 1 152 315 373 527 695; 3 1 1 4 4 2 3 2 3 1 3 2 2 3 2 1
57.04; 2.1778249718646823; True; 1 29 152 373 527 695; 3 1 1 5 4 2 2 3 3 1 4 2 3 2 3 1
57.11; 2.211921084308509; True; 1 152 373 527 695 849; 3 1 1 5 4 3 2 2 2 2 3 2 3 2 3 1
70.84; 2.6976651626476738; True; 1 152 315 373 467 527 695; 4 1 2 5 4 2 3 3 3 1 4 2 2 3 3 1
74.64; 2.914766136925852; True; 1 152 373 467 527 609 695; 3 1 2 6 4 2 2 3 3 2 4 2 3 3 3 1
