M: 18
Instance: 1
Algorithm: SPEA2
Iteration: 900
Population Size: 1000
Running Time:  6.38e+04 seconds
Required Skills:  0 1 2 4 5 7 9 10 11 12 14 15 16 18 22 23 24 26 
Distance; Skill Score; isValid; Team; Skill Counts
34.51; 0.854488225044431; True; 1 163 388 723 900; 2 1 4 2 3 1 2 1 1 3 1 1 2 1 1 2 2 1
34.54; 0.9117965904372518; True; 163 173 388 723 900; 3 1 4 1 3 1 3 2 1 2 1 1 2 1 1 2 2 1
39.43; 1.1894903136993662; True; 163 173 388 723 874; 3 1 4 1 3 1 3 2 1 2 1 1 3 2 1 1 3 1
49.23; 1.9951084577447418; True; 20 173 388 438 723 900; 3 1 5 1 4 1 3 2 2 3 2 2 2 1 1 2 2 1
49.29; 2.0060379549973177; True; 1 163 173 388 723 900; 3 1 5 2 4 1 3 2 1 3 1 2 3 1 1 2 3 1
49.68; 2.0269416279590295; True; 1 127 163 388 723 900; 2 1 5 2 4 1 2 2 2 3 2 1 2 2 1 2 2 1
51.23; 2.1172712956557636; True; 163 173 388 438 713 723; 4 1 5 1 5 1 4 3 1 2 2 1 3 2 2 1 3 1
51.26; 2.1914510144648958; True; 1 163 329 388 713 723; 3 1 5 2 4 1 4 1 2 2 2 1 2 2 2 2 2 1
54.23; 2.6657685507193793; True; 1 163 388 547 723 900; 2 1 4 2 4 1 3 2 2 3 2 1 3 2 2 3 2 1
58.06; 2.676510710282553; True; 1 42 163 388 547 723; 2 1 4 1 5 1 3 2 2 2 3 2 3 2 3 2 2 1
63.13; 2.8891335559667244; True; 1 20 173 388 438 723 900; 3 1 6 2 5 1 3 2 2 4 2 3 3 1 1 2 3 1
64.83; 3.030194785356752; True; 1 127 163 173 388 723 900; 3 1 6 2 5 1 3 3 2 3 2 2 3 2 1 2 3 1
71.06; 3.4405942618398306; True; 1 20 388 438 547 723 900; 2 1 5 2 5 1 3 2 3 4 3 2 3 2 2 3 2 1
72.93; 3.494432898726398; True; 1 163 388 438 547 723 900; 3 1 5 2 5 1 3 3 2 4 3 1 4 2 2 3 3 1
75.85; 3.6612446089593345; True; 1 163 388 547 723 885 900; 3 1 5 2 5 1 4 3 2 3 2 2 3 2 3 3 3 1
79.43; 3.7426465899387367; True; 1 156 163 388 547 723 900; 2 1 4 2 5 2 4 3 3 3 3 2 3 2 2 3 2 1
84.75; 3.8148466686044635; True; 1 112 163 388 547 723 885; 3 1 6 1 6 1 4 4 3 3 2 2 3 3 3 3 3 1
91.51; 4.219322508419337; True; 1 20 173 388 438 547 723 900; 3 1 6 2 6 1 4 3 3 4 3 3 4 2 2 3 3 1
93.36; 4.221414237842339; True; 1 163 173 388 438 547 723 900; 4 1 6 2 6 1 4 4 2 4 3 2 5 2 2 3 4 1
106.5; 4.5777215245090215; True; 1 112 163 388 547 723 885 900; 3 1 6 2 6 2 4 4 3 4 2 2 3 3 3 4 3 1
