M: 20
Instance: 1
Algorithm: SPEA2
Iteration: 1000
Population Size: 1000
Running Time:  7.738e+04 seconds
Required Skills:  0 1 2 4 5 7 9 10 11 12 13 14 15 16 18 20 22 23 24 26 
Distance; Skill Score; isValid; Team; Skill Counts
38.53; 0.845160077651947; True; 1 164 389 507 727; 2 1 4 1 4 1 3 1 1 2 1 2 1 3 2 1 1 1 3 1
39.2; 0.9785000693114583; True; 30 164 389 502 906; 2 1 4 1 3 1 3 2 1 3 1 2 1 2 1 2 1 1 2 1
54.05; 2.3465485585484736; True; 30 164 389 549 890 906; 3 1 4 1 4 1 4 3 1 3 1 2 1 3 1 2 3 2 3 1
57.05; 2.4485517392015765; True; 1 30 164 389 507 727; 3 1 5 1 5 1 4 1 1 3 2 3 1 4 2 2 2 1 4 1
57.91; 2.813380806733857; True; 30 164 389 549 879 890; 3 1 4 1 4 1 4 3 1 3 2 2 1 4 2 2 3 1 4 1
80.14; 3.98802356192866; True; 30 164 389 502 507 549 879; 2 1 4 1 5 2 5 3 2 3 3 4 1 5 4 3 2 1 4 1
83.81; 4.004321373782643; True; 1 30 113 164 389 507 727; 3 1 6 1 6 2 4 2 2 4 3 3 1 4 3 2 2 2 4 1
84.09; 4.037426497940624; True; 30 164 389 502 549 879 890; 3 1 5 1 5 1 5 4 2 3 2 3 2 4 3 3 3 1 4 1
85.76; 4.042181594515766; True; 1 30 113 164 389 507 549; 2 1 5 1 6 2 4 3 2 4 3 3 1 5 3 2 2 2 4 1
87.58; 4.214048679411942; True; 30 113 164 389 549 879 890; 3 1 5 1 5 2 4 4 2 4 3 2 1 4 3 2 3 2 4 1
102.2; 4.651084089243012; True; 1 30 113 164 389 638 727 890; 4 1 7 2 7 1 4 3 2 4 2 3 2 4 2 3 3 2 5 1
103.3; 4.7160033436347994; True; 1 30 164 389 507 549 727 890; 4 1 6 1 7 1 6 3 2 3 2 4 2 5 3 3 4 2 5 1
109.3; 4.971832279924925; True; 1 30 113 164 389 507 727 890; 4 1 7 1 7 2 5 3 2 4 3 3 2 4 3 3 3 2 5 1
110.2; 5.019116290447073; True; 1 30 113 164 389 507 549 890; 3 1 6 1 7 2 5 4 2 4 3 3 2 5 3 3 3 2 5 1
115.1; 5.049218022670182; True; 1 30 113 164 389 549 879 890; 3 1 6 2 6 2 4 4 2 5 3 2 2 5 3 2 3 2 5 1
136; 5.634578022853889; True; 1 30 113 164 389 507 727 890 906; 4 1 7 2 7 3 5 3 2 5 3 3 2 4 3 3 3 3 5 1
140.9; 5.785899028384383; True; 1 30 113 164 389 507 549 727 890; 4 1 7 1 8 2 6 4 3 4 3 4 2 5 4 3 4 3 5 1
143.8; 5.804616416987255; True; 1 30 113 164 389 507 727 879 890; 4 1 7 2 7 3 5 3 2 5 4 3 2 5 4 3 3 2 6 1
144.7; 5.8352465399963105; True; 1 30 113 164 389 507 549 879 890; 3 1 6 2 7 3 5 4 2 5 4 3 2 6 4 3 3 2 6 1
