M: 4
Instance: 1
Algorithm: SPEA2
Iteration: 200
Population Size: 1000
Running Time:  3463 seconds
Required Skills:  0 10 23 24 
Distance; Skill Score; isValid; Team; Skill Counts
0.952; 2.141763230275788; True; 80 212; 1 1 1 1
0.99; 2.3630475945210936; True; 150 293; 1 2 1 1
1.982; 2.5393270635393748; True; 80 372; 2 1 1 2
2.786; 2.5499836111596887; True; 150 248 336; 2 2 1 1
2.811; 2.760497875226527; True; 80 196 212; 2 2 1 2
2.959; 2.862548769524793; True; 149 150 231; 2 3 1 2
4.836; 2.9286006598445242; True; 80 196 372; 3 2 1 3
5.689; 2.955832010232422; True; 13 80 196 212; 2 3 1 3
5.787; 3.030599721965951; True; 149 150 160 231; 3 3 1 3
5.911; 3.0874264570362855; True; 149 150 231 293; 3 4 1 3
7.917; 3.1085650237328344; True; 150 231 293 386; 2 3 2 2
9.571; 3.1228709228644354; True; 149 150 160 189 231; 4 4 1 3
9.617; 3.165244326125311; True; 45 149 150 181; 2 4 2 2
9.699; 3.172310968521954; True; 149 150 160 231 293; 4 4 1 4
9.71; 3.1746411926604483; True; 80 196 212 372; 3 2 2 3
9.877; 3.2060158767633444; True; 149 150 231 248 293; 4 5 1 4
12.57; 3.2402995820027125; True; 23 150 152 231 248; 3 4 2 2
12.72; 3.276921132065774; True; 149 150 160 231 386; 3 3 2 3
12.86; 3.3334472744967503; True; 149 150 231 293 386; 3 4 2 3
14.51; 3.367355921026019; True; 45 149 150 181 231; 3 5 2 3
18.46; 3.402777069610347; True; 23 150 152 231 248 293; 4 5 2 3
18.61; 3.4184670209466006; True; 149 150 160 231 293 386; 4 4 2 4
18.81; 3.452246574520437; True; 149 150 231 248 293 386; 4 5 2 4
20.41; 3.4733409641859354; True; 45 149 150 181 231 293; 4 6 2 4
25.3; 3.491221576239283; True; 23 45 150 181 248 293; 3 5 3 3
25.56; 3.4984484031739997; True; 149 150 160 231 248 293 386; 5 5 2 5
26.45; 3.519565500880509; True; 149 150 231 248 283 293 386; 5 6 2 5
27.33; 3.5330090224954853; True; 45 149 150 181 231 248 293; 5 7 2 5
32.17; 3.5477747053878224; True; 23 45 150 152 231 248 293; 4 6 3 3
32.2; 3.57611089412084; True; 23 150 231 248 283 293 386; 4 5 3 4
33.16; 3.5972562829251418; True; 23 45 150 181 231 248 293; 4 6 3 4
38.25; 3.61066016308988; True; 45 149 150 181 231 240 248; 4 7 3 4
42.68; 3.643353961976863; True; 16 45 149 150 181 231 293 386; 5 6 3 5
42.92; 3.6568644915489172; True; 23 45 150 181 231 248 293 394; 5 7 3 5
49; 3.6655809910179533; True; 45 149 150 181 231 240 248 394; 5 8 3 5
52.32; 3.672467313068082; True; 23 45 149 150 181 283 386 394; 4 6 4 4
55.42; 3.6735737964230517; True; 45 73 149 150 181 248 283 394; 5 7 3 6
55.97; 3.685920792194535; True; 45 150 181 231 240 248 293 386; 4 7 4 4
60.65; 3.7007037171450192; True; 23 45 73 150 231 248 293 385; 4 6 4 5
64.01; 3.7038929536325447; True; 45 149 150 181 231 240 248 377; 5 7 4 4
64.98; 3.714162046098853; True; 45 149 150 181 231 240 248 310; 4 7 4 5
67.32; 3.718667735316211; True; 23 45 150 181 231 248 372 385; 5 6 4 5
70.73; 3.7321524180652137; True; 45 149 150 181 240 248 293 372; 5 7 4 5
73.53; 3.7353593330017105; True; 45 73 149 150 181 248 293 372; 5 6 4 6
82.5; 3.750431248660202; True; 45 73 149 150 181 240 293 372; 4 6 5 5
