M: 6
Instance: 1
Algorithm: SPEA2
Iteration: 300
Population Size: 1000
Running Time:  6251 seconds
Required Skills:  0 1 4 10 23 24 
Distance; Skill Score; isValid; Team; Skill Counts
8.886; 0.3951515915045425; True; 83 190 414; 1 1 1 1 1 1
11.85; 0.6114046377115931; True; 13 190 395; 1 1 1 1 1 2
15.16; 0.6213840284816534; True; 59 83 190 414; 1 1 1 2 1 1
19.61; 1.0856472882968564; True; 83 190 225 414; 2 1 2 1 1 2
19.78; 1.1172712956557644; True; 13 190 332 349; 1 1 2 2 1 2
20.61; 1.1408221801093106; True; 13 190 395 414; 1 1 2 1 2 2
20.67; 1.183554533618862; True; 13 190 225 395; 2 1 2 1 1 3
31.61; 1.65915528094063; True; 13 190 332 349 395; 2 1 2 2 2 3
44.36; 1.9481194243805362; True; 13 190 225 332 349 395; 3 1 3 2 2 4
46.97; 1.9721102284028307; True; 13 190 225 349 395 414; 2 1 4 2 2 4
47.87; 1.9739586861067036; True; 13 190 349 362 395 414; 2 1 3 3 2 4
58.83; 2.114610984232173; True; 13 155 190 225 332 349 395; 4 1 3 2 3 4
63.48; 2.190051417759206; True; 13 190 225 349 362 395 414; 3 1 4 3 2 5
