M: 18
Instance: 1
Algorithm: MOSA
Iteration: 900000
T: 100 
Running Time: 1035 seconds
Distance; Skill Score; IsValid
40.48; 0.6551384348113807; True; 
43.07; 0.8894137640427076; True; 
52.27; 0.8955330394840715; True; 
54.07; 1.8154449162443491; True; 
75.06; 1.976441689378845; True; 
77.75; 2.434568904034199; True; 
99.77; 2.715418322595056; True; 
107.7; 3.051923916046107; True; 
130.1; 3.1027766148834406; True; 
131.1; 3.2271150825891244; True; 
147.9; 3.2435341018320614; True; 
151.3; 3.3778524190067554; True; 
151.5; 3.5363058723510328; True; 
162.9; 3.7161703478598547; True; 
177.5; 3.9788193867328427; True; 
180.9; 4.48925516836926; True; 
255.8; 4.533009022495486; True; 
268.2; 4.552546547955661; True; 
279.4; 4.685741738602264; True; 
299.1; 4.9075725787985505; True; 
308.2; 4.968763048197248; True; 
316.8; 5.132259689531045; True; 
348.3; 5.239549720840474; True; 
374.1; 5.332842266994351; True; 
376.4; 5.820070034312327; True; 
492.5; 5.906981153228854; True; 
513.5; 5.964636703788502; True; 
519.3; 6.37984917876283; True; 
601.1; 6.55509444857832; True; 
786.6; 6.895367288773361; True; 
928.2; 6.945862324489617; True; 
951; 7.014520538757925; True; 
1015; 7.088136088700551; True; 
1201; 7.127104798364808; True; 
1208; 7.13065534902203; True; 
1256; 7.271144317949078; True; 
1268; 7.324282455297693; True; 
1297; 7.700184329622198; True; 
1615; 7.758987546867619; True; 
1742; 7.883263859584973; True; 
1933; 7.985561187773346; True; 
2053; 8.3096301674259; True; 
2442; 8.60390183173167; True; 
