M: 20
Instance: 1
Algorithm: MOSA
Iteration: 1000000
T: 100 
Running Time: 1441 seconds
Distance; Skill Score; IsValid
56.87; 1.004751155591002; True; 
76.39; 1.2794387882870204; True; 
88.52; 1.8818409683249264; True; 
100.6; 2.0488300865283513; True; 
109.9; 2.9774492273823405; True; 
117.6; 3.1222158782728258; True; 
136.2; 3.7982361763679364; True; 
164.6; 3.9698816437465005; True; 
176.3; 4.137037454789512; True; 
181.4; 4.188084373714938; True; 
201.4; 4.416640507338281; True; 
213.3; 4.738225448142504; True; 
229.7; 5.052309099647324; True; 
247.2; 5.566555330883055; True; 
274.4; 5.632356046239073; True; 
325; 5.914184433423246; True; 
414.7; 5.9723879991074735; True; 
453.8; 6.4361626470407565; True; 
482.6; 6.513883185611093; True; 
584.9; 6.773786444981194; True; 
622.9; 6.788451207023456; True; 
623.7; 6.925879089301501; True; 
654.1; 7.245759355967277; True; 
775.3; 7.268811903739781; True; 
871.4; 7.501059262217751; True; 
991.2; 7.547651658359969; True; 
1005; 7.731346975545955; True; 
1074; 7.8088858673598125; True; 
1086; 8.062205808819712; True; 
1334; 8.169086357487023; True; 
1369; 8.211654400553183; True; 
1410; 8.22634208716363; True; 
1431; 8.326949994165998; True; 
1484; 8.630122642859313; True; 
1541; 8.781827152932427; True; 
2034; 8.833720690444633; True; 
2036; 8.843108141999608; True; 
2098; 9.004751155591; True; 
2260; 9.107549129744687; True; 
2373; 9.259354927308035; True; 
2388; 9.305781151254982; True; 
2470; 9.397940008672037; True; 
2783; 9.446692466371527; True; 
2991; 9.469822015978163; True; 
3059; 9.495544337546448; True; 
3060; 9.563599728881531; True; 
3165; 9.627263416568221; True; 
