M: 4
Instance: 1
Algorithm: MOSA
Iteration: 200000
T: 100 
Running Time: 8.707 seconds
Distance; Skill Score; IsValid
0.952; 2.141763230275788; True; 
0.99; 2.3630475945210936; True; 
1.982; 2.5393270635393748; True; 
2.861; 2.760497875226527; True; 
2.972; 2.862548769524793; True; 
6.567; 2.937417581477138; True; 
6.895; 2.9940090331236133; True; 
7.69; 3.0874264570362855; True; 
10.81; 3.1565491513317814; True; 
12.63; 3.1746411926604483; True; 
15.48; 3.1835545336188615; True; 
16.37; 3.20194306340165; True; 
17.56; 3.2237554536572413; True; 
17.61; 3.276921132065774; True; 
19.8; 3.3334472744967503; True; 
27.44; 3.369030221809153; True; 
32.42; 3.3900514964589874; True; 
33.95; 3.4184670209466006; True; 
38.68; 3.4500950758716025; True; 
41.02; 3.4784221877400805; True; 
41.24; 3.485579476984679; True; 
47.96; 3.5036545192429593; True; 
50.52; 3.510813010512496; True; 
56.16; 3.52543355342882; True; 
58.01; 3.5422027824340283; True; 
58.75; 3.5601458398490475; True; 
63.71; 3.617524534886292; True; 
75.3; 3.6513749439130434; True; 
80.19; 3.6636067081245205; True; 
108.1; 3.679609571779756; True; 
