M: 8
Instance: 1
Algorithm: MOSA
Iteration: 400000
T: 100 
Running Time: 110.9 seconds
Distance; Skill Score; IsValid
11.84; 0.3743816980508825; True; 
14.81; 0.4413808849165113; True; 
18.85; 0.6885977750811696; True; 
19.61; 0.8762178405916421; True; 
20.58; 0.8955882756662632; True; 
21.52; 0.9553990866392672; True; 
22.35; 0.9687163774667855; True; 
22.7; 1.1360860973840978; True; 
24.71; 1.3703280077795101; True; 
29.32; 1.5006480633719121; True; 
34.56; 1.5017437296279947; True; 
35.31; 1.5211380837040362; True; 
37.4; 1.521268875598385; True; 
38.03; 1.6514718521990428; True; 
40.39; 1.8316778491914665; True; 
46.38; 1.8889092592635315; True; 
46.85; 2.130655349022031; True; 
69.25; 2.2878017299302265; True; 
76.07; 2.3079237036118814; True; 
79.38; 2.331832044436249; True; 
88.03; 2.3814760902750303; True; 
91.38; 2.3982873053574014; True; 
91.96; 2.4328090050331683; True; 
92.44; 2.449169732165201; True; 
98.88; 2.5438198051426575; True; 
106.3; 2.651568738865792; True; 
108.1; 2.729488769179561; True; 
118.4; 2.744449457446798; True; 
124.1; 2.7813963051967905; True; 
133; 2.8063156698081135; True; 
148; 2.8810421081934052; True; 
148.5; 2.9248992640142832; True; 
161.4; 2.993744756554462; True; 
176.7; 3.00518051250378; True; 
183.2; 3.19200959265367; True; 
232.3; 3.2464985807958007; True; 
244.9; 3.309630167425899; True; 
271.3; 3.3224260524059526; True; 
287.2; 3.4139699717480614; True; 
289.5; 3.4485517392015783; True; 
351; 3.472610197596045; True; 
367.5; 3.4956830676169153; True; 
368.8; 3.5225746326911764; True; 
369.5; 3.570776368794748; True; 
390.3; 3.63205216670581; True; 
397; 3.68930885912362; True; 
479; 3.7286783668509136; True; 
500.6; 3.7885218872224726; True; 
