M: 18
Instance: 1
Algorithm: NSGA-II
Iteration: 900
Population Size: 1000
Running Time: 1.06e+05 seconds
Distance; Skill Score; IsValid
33.49; 0.4531653925258574; True; 
34.45; 0.6898414091375038; True; 
34.51; 0.854488225044431; True; 
34.54; 0.9117965904372518; True; 
35.44; 0.9312035254507514; True; 
36.18; 1.1280760126687142; True; 
38.36; 1.1325798476597377; True; 
38.5; 1.1448854182871422; True; 
39.43; 1.1894903136993662; True; 
39.51; 1.4586378490256493; True; 
41.03; 1.4874212113594751; True; 
46.26; 1.712902125047222; True; 
46.27; 1.8662873390841952; True; 
47.46; 1.8868853589860102; True; 
47.73; 1.9601376748637946; True; 
49.23; 1.9951084577447418; True; 
49.29; 2.0060379549973177; True; 
49.68; 2.0269416279590295; True; 
50.86; 2.299942900022767; True; 
54.05; 2.3044905277734884; True; 
54.12; 2.3298045221640695; True; 
54.19; 2.5122840632818537; True; 
54.23; 2.6657685507193793; True; 
58.06; 2.676510710282553; True; 
58.23; 2.7334380270910614; True; 
61.05; 2.7654450180901495; True; 
61.19; 2.888404167737047; True; 
63.13; 2.8891335559667244; True; 
63.15; 2.893539843564662; True; 
63.98; 2.9059037662166176; True; 
64.15; 2.908431398966007; True; 
64.83; 3.030194785356752; True; 
67.1; 3.1296898921993; True; 
68.92; 3.231979026831505; True; 
68.96; 3.3310221710418286; True; 
71.06; 3.4405942618398306; True; 
72.93; 3.494432898726398; True; 
73.79; 3.588047496986082; True; 
75.85; 3.6612446089593345; True; 
79.43; 3.7426465899387367; True; 
81.41; 3.749890841271421; True; 
83.27; 3.763802224074592; True; 
83.77; 3.781468142841799; True; 
83.78; 3.8808135922807914; True; 
86.56; 3.886603514286712; True; 
86.87; 3.9883359558560514; True; 
90.36; 4.004321373782643; True; 
90.51; 4.008600171761918; True; 
90.58; 4.04375512696868; True; 
91.41; 4.061829307294699; True; 
91.43; 4.156246190397345; True; 
91.44; 4.164352855784436; True; 
91.51; 4.219322508419337; True; 
93.36; 4.221414237842339; True; 
94.48; 4.237794993273923; True; 
95.28; 4.288025535388362; True; 
95.7; 4.292477593667783; True; 
96.48; 4.310268366632448; True; 
97.35; 4.312388949370591; True; 
97.52; 4.321598430465343; True; 
98.21; 4.347525159998689; True; 
98.37; 4.380211241711606; True; 
101.9; 4.438542348786111; True; 
102; 4.467608105583633; True; 
103.3; 4.468937805665462; True; 
103.5; 4.5044708624944185; True; 
104.5; 4.564547711755948; True; 
104.9; 4.577376891917014; True; 
106.5; 4.5777215245090215; True; 
107; 4.578868328666029; True; 
109.1; 4.620448384711709; True; 
110; 4.630427875025024; True; 
110.2; 4.683497317679812; True; 
112.1; 4.699751031689514; True; 
112.8; 4.7050079593333365; True; 
113.1; 4.744605875414239; True; 
113.8; 4.800304577556199; True; 
117; 4.846769953537219; True; 
119; 4.872272846224204; True; 
119.2; 4.99899997221832; True; 
122; 5.001300933020419; True; 
123.7; 5.050379756261458; True; 
124.8; 5.059184617631372; True; 
127.2; 5.071145290451083; True; 
128; 5.071513805095089; True; 
128.1; 5.0806264869218065; True; 
128.7; 5.086715663944883; True; 
128.9; 5.088136088700551; True; 
129; 5.1172712956557636; True; 
129; 5.154728207440156; True; 
131.1; 5.1550322287909704; True; 
131.4; 5.190331698170292; True; 
132.9; 5.208172526667122; True; 
133.4; 5.235023159495224; True; 
133.9; 5.257438566859813; True; 
137.3; 5.276921132065773; True; 
138.3; 5.311753861055754; True; 
140.9; 5.449632650470075; True; 
142.8; 5.4593924877592315; True; 
145.6; 5.476541809027429; True; 
147.6; 5.512550992904211; True; 
149.6; 5.519959180752068; True; 
150.5; 5.534787358629492; True; 
150.6; 5.587037117743456; True; 
153.3; 5.601408060534684; True; 
153.8; 5.608312042697326; True; 
155.5; 5.619823500457278; True; 
156.3; 5.6416723732246865; True; 
158.5; 5.642662331442036; True; 
158.5; 5.6732974397596365; True; 
158.9; 5.675503384727957; True; 
159.3; 5.684037037486521; True; 
160.5; 5.70139526901392; True; 
161.7; 5.722469385884031; True; 
163.7; 5.734799829588846; True; 
164.2; 5.760723972141951; True; 
165.7; 5.762753564933375; True; 
165.9; 5.766264090651996; True; 
166.5; 5.846584502898047; True; 
168.9; 5.8514418146720555; True; 
170.1; 5.865103974641128; True; 
170.2; 5.8790385052372365; True; 
171.9; 5.894537584995746; True; 
173; 5.896911840826025; True; 
173; 5.922102366807607; True; 
173.1; 5.924486043733914; True; 
174.1; 5.9275243408750296; True; 
174.5; 5.94215692846749; True; 
175.9; 5.969928189428115; True; 
177.1; 5.983490971815167; True; 
178.9; 5.985516287852715; True; 
179.2; 5.991048776452676; True; 
180.4; 6.006466042249231; True; 
181.9; 6.011147360775798; True; 
182; 6.03181227133037; True; 
182.5; 6.045714058940868; True; 
184.2; 6.0488300865283495; True; 
185.9; 6.0927206446841; True; 
186.5; 6.135132651376775; True; 
187.8; 6.136086097384098; True; 
189.7; 6.136086097384098; True; 
189.7; 6.156246190397345; True; 
191.1; 6.160468531119037; True; 
193.8; 6.166726055580051; True; 
194.6; 6.186391215695494; True; 
195.1; 6.213783299335304; True; 
196.7; 6.215108581053093; True; 
197.1; 6.217747073262794; True; 
197.2; 6.232487866352987; True; 
197.4; 6.242789809478676; True; 
198.4; 6.249442961442583; True; 
198.6; 6.275771900164932; True; 
201.1; 6.292920299600006; True; 
202.2; 6.318272080211626; True; 
203.3; 6.320561680195237; True; 
204.9; 6.324282455297693; True; 
207.7; 6.324488233307656; True; 
207.7; 6.364550995353971; True; 
208; 6.38363586836188; True; 
209; 6.399154333958217; True; 
211; 6.402605241919915; True; 
211.8; 6.442009159140952; True; 
215; 6.465828815357437; True; 
216; 6.480868923687169; True; 
216.3; 6.484299839346786; True; 
219; 6.507180977260241; True; 
219.5; 6.521268875598386; True; 
222; 6.5215303412787105; True; 
223; 6.52865964523499; True; 
223.8; 6.533009022495486; True; 
224.5; 6.534533756005116; True; 
225; 6.541204690683259; True; 
225.6; 6.582631439489637; True; 
228.5; 6.623456048069933; True; 
230.4; 6.653309012938479; True; 
234.5; 6.692053365034081; True; 
236.2; 6.704579449696299; True; 
236.3; 6.725503268859315; True; 
239.5; 6.739888655084544; True; 
240.3; 6.74523098452814; True; 
242.2; 6.765891976430016; True; 
243.1; 6.780317312140152; True; 
244.1; 6.780965029608318; True; 
245.4; 6.806993513682107; True; 
248.2; 6.818951311640173; True; 
248.2; 6.833274639290563; True; 
250.2; 6.837651557846392; True; 
251.5; 6.840357059203356; True; 
252.4; 6.848558572123764; True; 
253.9; 6.861952374921451; True; 
256.2; 6.887504774235378; True; 
258.6; 6.895201474778894; True; 
259.8; 6.917242857907466; True; 
260; 6.9231403560252005; True; 
260.5; 6.926290986884863; True; 
260.8; 6.956456583409899; True; 
265.5; 6.965107585849056; True; 
266.6; 7.00902574208691; True; 
268.6; 7.023663918197794; True; 
270.5; 7.026533264523296; True; 
270.7; 7.044147620878723; True; 
273.4; 7.088490470182396; True; 
277.3; 7.106530853822381; True; 
279.4; 7.144262773761991; True; 
281.7; 7.1476763242410986; True; 
284.5; 7.164650215934296; True; 
285.5; 7.167612672727531; True; 
286.3; 7.168792020314182; True; 
287.4; 7.178401341533755; True; 
287.8; 7.186391215695494; True; 
289.5; 7.208441356438568; True; 
293.3; 7.211387552936859; True; 
294.5; 7.231469590430681; True; 
294.8; 7.239799818447098; True; 
299.1; 7.254306332331286; True; 
299.9; 7.287353772714747; True; 
304.6; 7.292477593667783; True; 
304.8; 7.307282047033347; True; 
305; 7.313023110323238; True; 
305.8; 7.3168087520530225; True; 
306; 7.326949994165998; True; 
307.7; 7.366422957225973; True; 
311.4; 7.38327665040765; True; 
313.1; 7.388988785124715; True; 
315.7; 7.401745082237063; True; 
316; 7.41077723337721; True; 
317.9; 7.421274791210346; True; 
319.9; 7.427486109095785; True; 
320.5; 7.447468130949757; True; 
322.9; 7.481299273332855; True; 
324.7; 7.490520309363349; True; 
328.8; 7.500099191915723; True; 
328.9; 7.516535373895799; True; 
329.8; 7.537189226243644; True; 
334.6; 7.545678149792025; True; 
337.8; 7.554246808166111; True; 
341.4; 7.559068334034537; True; 
343.8; 7.559308010907012; True; 
344.8; 7.5945030438200885; True; 
348.5; 7.599555590985981; True; 
348.6; 7.599773939146388; True; 
349.7; 7.61888448499545; True; 
350; 7.625826713285711; True; 
352; 7.626134978635388; True; 
352.3; 7.642662331442036; True; 
352.5; 7.65475393325293; True; 
354.5; 7.662757831681574; True; 
354.8; 7.679972694277419; True; 
354.8; 7.682145076373832; True; 
358.3; 7.691700208290161; True; 
360; 7.721068301797159; True; 
361.7; 7.737590166285722; True; 
365.8; 7.747178671360164; True; 
367.9; 7.765221366304981; True; 
371.2; 7.779380011491655; True; 
373; 7.78993308093175; True; 
373.8; 7.819609732751585; True; 
378.6; 7.824646414718352; True; 
379.9; 7.851258348719075; True; 
390.1; 7.8778894253714835; True; 
393.8; 7.879267956824613; True; 
394; 7.879497287249428; True; 
396.5; 7.895256753144894; True; 
398.1; 7.907787443110616; True; 
398.1; 7.9141315126308935; True; 
400.9; 7.915188705173156; True; 
401; 7.93736741751729; True; 
402.6; 7.953856298224986; True; 
406.2; 7.962842681201243; True; 
406.8; 7.963457260116707; True; 
407.7; 7.965107585849056; True; 
408.7; 7.991757539534348; True; 
410.1; 7.992465147808042; True; 
410.9; 8.014520538757925; True; 
412.8; 8.029789470831856; True; 
414.9; 8.03181227133037; True; 
417.5; 8.035829825252828; True; 
419.5; 8.039017321997411; True; 
420.4; 8.04099769242349; True; 
420.9; 8.04336227802113; True; 
421.4; 8.05307844348342; True; 
421.7; 8.056142262059053; True; 
421.9; 8.06333335895175; True; 
426.9; 8.064832219738573; True; 
426.9; 8.077731179652393; True; 
430.7; 8.080987046910888; True; 
430.9; 8.103119253545714; True; 
435.3; 8.11092624226642; True; 
437; 8.134814370320461; True; 
440.3; 8.138302698166282; True; 
450.3; 8.138933940256925; True; 
450.7; 8.174641192660449; True; 
451.2; 8.203848463746235; True; 
455.5; 8.207903530386051; True; 
458.8; 8.220369632451394; True; 
459.9; 8.245018870737754; True; 
463.1; 8.263636068588108; True; 
469.8; 8.268811903739781; True; 
470.2; 8.278982116865443; True; 
470.9; 8.279210512601395; True; 
472.6; 8.284205067701794; True; 
473.7; 8.287801729930226; True; 
474; 8.303412070596742; True; 
476.6; 8.307496037913213; True; 
478.6; 8.310480891462674; True; 
481; 8.33505651943909; True; 
488; 8.361350024352266; True; 
491.8; 8.364550995353971; True; 
493.7; 8.376941757146758; True; 
502.1; 8.393926006585836; True; 
506.7; 8.397244581010387; True; 
506.8; 8.404662700873722; True; 
508.9; 8.406028944963616; True; 
510.1; 8.417803722639881; True; 
510.3; 8.417969642214738; True; 
513.2; 8.436321700139734; True; 
513.9; 8.436798510231803; True; 
516.6; 8.441380884916512; True; 
516.8; 8.457427692946485; True; 
518.7; 8.459543258280412; True; 
521.9; 8.46314613672635; True; 
522.3; 8.466571072386355; True; 
522.6; 8.46996920949996; True; 
522.8; 8.490099005063305; True; 
526.8; 8.50947135210255; True; 
529.7; 8.514016180400649; True; 
532.6; 8.516006230386047; True; 
534.9; 8.550472957106564; True; 
538.6; 8.557507201905658; True; 
540.5; 8.564902672529206; True; 
545.9; 8.573567773039219; True; 
550.1; 8.578639209968072; True; 
557.6; 8.5792117802315; True; 
561.5; 8.596707029681447; True; 
566.1; 8.603793704136963; True; 
568.2; 8.611192060868435; True; 
570.1; 8.618361931109877; True; 
570.3; 8.636888906983799; True; 
574.7; 8.65243974758942; True; 
574.8; 8.662663409574037; True; 
581.5; 8.673481697073347; True; 
581.6; 8.674861140737812; True; 
581.7; 8.678518379040113; True; 
584.8; 8.687885524848706; True; 
585.5; 8.711385379098452; True; 
594.6; 8.719082573901487; True; 
595.3; 8.731346975545955; True; 
595.6; 8.74577721788976; True; 
