M: 20
Instance: 1
Algorithm: NSGA-II
Iteration: 1000
Population Size: 1000
Running Time: 1.263e+05 seconds
Distance; Skill Score; IsValid
33.53; -0.3748934245965323; True; 
34.28; 0.5207454715194828; True; 
38.53; 0.845160077651947; True; 
39.2; 0.9785000693114583; True; 
40.36; 1.0663259253620367; True; 
41.03; 1.2526103405673723; True; 
44.99; 1.7570922201189312; True; 
48.02; 2.001300933020417; True; 
50.86; 2.342027688087473; True; 
54.05; 2.3465485585484736; True; 
54.75; 2.6864575104691113; True; 
57.91; 2.813380806733857; True; 
61.05; 2.821448019017531; True; 
62.54; 3.0136796972911917; True; 
64.64; 3.0145205387579246; True; 
65.76; 3.0281644194244706; True; 
66.39; 3.1089031276673147; True; 
67.65; 3.1592663310934945; True; 
69.39; 3.2595938788859478; True; 
71.61; 3.2913688504515832; True; 
71.91; 3.3332456989619637; True; 
73.19; 3.381656482585786; True; 
73.52; 3.4788549675286617; True; 
73.52; 3.569607967546826; True; 
76.33; 3.6647359685187055; True; 
76.72; 3.6984485380153274; True; 
77.28; 3.700876708376903; True; 
77.59; 3.8621313793130376; True; 
80.13; 3.96623562409858; True; 
80.14; 3.98802356192866; True; 
83.81; 4.004321373782643; True; 
84.09; 4.037426497940624; True; 
85.76; 4.042181594515766; True; 
87.27; 4.161368002234974; True; 
87.58; 4.214048679411942; True; 
90.29; 4.224274014294258; True; 
91.27; 4.238798562713917; True; 
92.61; 4.296665190261532; True; 
94.54; 4.344195715871434; True; 
96.1; 4.352761191723831; True; 
96.16; 4.370328007779511; True; 
96.22; 4.37602918172818; True; 
97.13; 4.430397591386967; True; 
98.91; 4.459090789600586; True; 
99.37; 4.564192460626197; True; 
100.3; 4.57379958221574; True; 
101.3; 4.577261953585815; True; 
101.5; 4.585235063365776; True; 
102.1; 4.645422269349092; True; 
102.2; 4.651084089243012; True; 
103.3; 4.7160033436347994; True; 
103.9; 4.731508183596025; True; 
105.3; 4.760874638052188; True; 
105.6; 4.793650717707173; True; 
105.6; 4.917820481993697; True; 
109.3; 4.971832279924925; True; 
110.2; 5.019116290447073; True; 
112.2; 5.03462845662532; True; 
115.1; 5.049218022670182; True; 
115.4; 5.06333335895175; True; 
118.7; 5.080987046910888; True; 
118.7; 5.216693599169755; True; 
121.2; 5.227372442289637; True; 
123.1; 5.253095585849032; True; 
124; 5.280578370368076; True; 
124.9; 5.310693312343361; True; 
125; 5.331427296520744; True; 
125.8; 5.341038631677522; True; 
126.1; 5.365113431627577; True; 
128.1; 5.3688445068258215; True; 
128.8; 5.412460547429962; True; 
128.8; 5.417803722639881; True; 
128.8; 5.423409727733093; True; 
129.6; 5.426511261364576; True; 
129.8; 5.441223674242613; True; 
129.9; 5.477555332198982; True; 
130; 5.5301996982030825; True; 
133.9; 5.5920656704322464; True; 
135.3; 5.608739919068787; True; 
136; 5.634578022853889; True; 
137.2; 5.732876041362706; True; 
137.7; 5.734479789425578; True; 
140.9; 5.785899028384383; True; 
143.8; 5.804616416987255; True; 
144.7; 5.8352465399963105; True; 
145.2; 5.873727380646679; True; 
145.2; 5.8939281265426064; True; 
150.5; 5.897737025345428; True; 
151; 5.955302822761691; True; 
152.6; 5.9607085516885565; True; 
152.6; 5.971183040856161; True; 
153.6; 5.983220214648103; True; 
154.8; 5.9932598314367365; True; 
155; 5.994053063587675; True; 
155; 6.040602340114074; True; 
156.1; 6.04493154614916; True; 
157.4; 6.054613054556889; True; 
157.4; 6.077367905284156; True; 
157.5; 6.0916669575956846; True; 
158.7; 6.09968064110925; True; 
158.7; 6.109915863023794; True; 
159.3; 6.153509989300838; True; 
159.4; 6.15836249209525; True; 
160.5; 6.186108379813206; True; 
162.5; 6.210050849875136; True; 
164.3; 6.222716471147583; True; 
165; 6.23401081758718; True; 
165; 6.240049772112648; True; 
165.4; 6.271609301378833; True; 
167.3; 6.279894980011639; True; 
168.3; 6.282848602834644; True; 
168.6; 6.2853322276438846; True; 
169.1; 6.304705898212765; True; 
169.3; 6.34713478291002; True; 
170.5; 6.3979400086720375; True; 
