M: 16
Instance: 1
Algorithm: SPEA2
Iteration: 800
Population Size: 1000
Running Time: 5.419e+04 seconds
Distance; Skill Score; IsValid
22.67; -0.6424462802569195; True; 
24.56; -0.4878494630779677; True; 
33.45; 0.4312028845565159; True; 
34.47; 0.4416951356407175; True; 
35.31; 0.6085260335771938; True; 
37.31; 0.7085908451503435; True; 
38.27; 0.8344842853348045; True; 
39.43; 1.2808059283936668; True; 
53.17; 1.9345994382180738; True; 
57.04; 2.1778249718646823; True; 
57.11; 2.211921084308509; True; 
70.84; 2.6976651626476738; True; 
74.64; 2.914766136925852; True; 
