M: 6
Instance: 1
Algorithm: SPEA2
Iteration: 300
Population Size: 1000
Running Time: 6251 seconds
Distance; Skill Score; IsValid
8.886; 0.3951515915045425; True; 
11.85; 0.6114046377115931; True; 
15.16; 0.6213840284816534; True; 
19.61; 1.0856472882968564; True; 
19.78; 1.1172712956557644; True; 
20.61; 1.1408221801093106; True; 
20.67; 1.183554533618862; True; 
31.61; 1.65915528094063; True; 
44.36; 1.9481194243805362; True; 
46.97; 1.9721102284028307; True; 
47.87; 1.9739586861067036; True; 
58.83; 2.114610984232173; True; 
63.48; 2.190051417759206; True; 
