M: 8
Instance: 1
Algorithm: SPEA2
Iteration: 400
Population Size: 1000
Running Time: 1.233e+04 seconds
Distance; Skill Score; IsValid
11.84; 0.3743816980508825; True; 
18.71; 0.9553990866392672; True; 
19.62; 0.9566485792052033; True; 
19.78; 1.1622656142980219; True; 
20.73; 1.203848463746235; True; 
23.55; 1.2372923375674585; True; 
28.52; 1.60151678365001; True; 
29.51; 1.6720054450229522; True; 
31.61; 1.8694077493822023; True; 
34.28; 2.006037954997317; True; 
42.25; 2.243781916093795; True; 
43.31; 2.2610248339923977; True; 
44.99; 2.300595483889963; True; 
47.94; 2.4061994236633124; True; 
48.69; 2.4138025167693513; True; 
49.05; 2.4271614029259654; True; 
62.6; 2.687796411381295; True; 
64.69; 2.731669331828636; True; 
