Distance; Skill Score
33.49; 0.4532
34.45; 0.6898
34.51; 0.8545
34.54; 0.9118
35.44; 0.9312
36.18; 1.128
38.36; 1.133
38.5; 1.145
39.43; 1.189
39.51; 1.459
41.03; 1.487
46.26; 1.713
46.27; 1.866
47.46; 1.887
47.73; 1.96
49.23; 1.995
49.29; 2.006
49.68; 2.027
50.86; 2.3
54.05; 2.304
54.12; 2.33
54.19; 2.512
54.23; 2.666
58.06; 2.677
58.23; 2.733
61.05; 2.765
61.19; 2.888
63.13; 2.889
63.15; 2.894
63.98; 2.906
64.15; 2.908
64.83; 3.03
67.1; 3.13
68.92; 3.232
68.96; 3.331
71.06; 3.441
72.93; 3.494
73.79; 3.588
75.85; 3.661
79.43; 3.743
81.41; 3.75
83.27; 3.764
83.77; 3.781
83.78; 3.881
86.56; 3.887
86.87; 3.988
90.36; 4.004
90.51; 4.009
90.58; 4.044
91.41; 4.062
91.43; 4.156
91.44; 4.164
91.51; 4.219
93.36; 4.221
94.48; 4.238
95.28; 4.288
95.7; 4.292
96.48; 4.31
97.35; 4.312
97.52; 4.322
98.21; 4.348
98.37; 4.38
101.9; 4.439
102; 4.468
103.3; 4.469
103.5; 4.504
104.5; 4.565
104.9; 4.577
106.5; 4.578
107; 4.579
109.1; 4.62
110; 4.63
110.2; 4.683
112.1; 4.7
112.8; 4.705
113.1; 4.745
113.8; 4.8
117; 4.847
119; 4.872
119.2; 4.999
122; 5.001
123.7; 5.05
124.8; 5.059
127.2; 5.071
128; 5.072
128.1; 5.081
128.7; 5.087
128.9; 5.088
129; 5.155
131.1; 5.155
131.4; 5.19
132.9; 5.208
133.4; 5.235
133.9; 5.257
137.3; 5.277
138.3; 5.312
140.9; 5.45
142.8; 5.459
145.6; 5.477
147.6; 5.513
149.6; 5.52
150.5; 5.535
150.6; 5.587
153.3; 5.601
153.8; 5.608
155.5; 5.62
156.3; 5.642
158.5; 5.673
158.9; 5.676
159.3; 5.684
160.5; 5.701
161.7; 5.722
163.7; 5.735
164.2; 5.761
165.7; 5.763
165.9; 5.766
166.5; 5.847
168.9; 5.851
170.1; 5.865
170.2; 5.879
171.9; 5.895
173; 5.922
173.1; 5.924
174.1; 5.928
174.5; 5.942
175.9; 5.97
177.1; 5.983
178.9; 5.986
179.2; 5.991
180.4; 6.006
181.9; 6.011
182; 6.032
182.5; 6.046
184.2; 6.049
185.9; 6.093
186.5; 6.135
187.8; 6.136
189.7; 6.156
191.1; 6.16
193.8; 6.167
194.6; 6.186
195.1; 6.214
196.7; 6.215
197.1; 6.218
197.2; 6.232
197.4; 6.243
198.4; 6.249
198.6; 6.276
201.1; 6.293
202.2; 6.318
203.3; 6.321
204.9; 6.324
207.7; 6.365
208; 6.384
209; 6.399
211; 6.403
211.8; 6.442
215; 6.466
216; 6.481
216.3; 6.484
219; 6.507
219.5; 6.521
222; 6.522
223; 6.529
223.8; 6.533
224.5; 6.535
225; 6.541
225.6; 6.583
228.5; 6.623
230.4; 6.653
234.5; 6.692
236.2; 6.705
236.3; 6.726
239.5; 6.74
240.3; 6.745
242.2; 6.766
243.1; 6.78
244.1; 6.781
245.4; 6.807
248.2; 6.833
250.2; 6.838
251.5; 6.84
252.4; 6.849
253.9; 6.862
256.2; 6.888
258.6; 6.895
259.8; 6.917
260; 6.923
260.5; 6.926
260.8; 6.956
265.5; 6.965
266.6; 7.009
268.6; 7.024
270.5; 7.027
270.7; 7.044
273.4; 7.088
277.3; 7.107
279.4; 7.144
281.7; 7.148
284.5; 7.165
285.5; 7.168
286.3; 7.169
287.4; 7.178
287.8; 7.186
289.5; 7.208
293.3; 7.211
294.5; 7.231
294.8; 7.24
299.1; 7.254
299.9; 7.287
304.6; 7.292
304.8; 7.307
305; 7.313
305.8; 7.317
306; 7.327
307.7; 7.366
311.4; 7.383
313.1; 7.389
315.7; 7.402
316; 7.411
317.9; 7.421
319.9; 7.427
320.5; 7.447
322.9; 7.481
324.7; 7.491
328.8; 7.5
328.9; 7.517
329.8; 7.537
334.6; 7.546
337.8; 7.554
341.4; 7.559
343.8; 7.559
344.8; 7.595
348.5; 7.6
348.6; 7.6
349.7; 7.619
350; 7.626
352; 7.626
352.3; 7.643
352.5; 7.655
354.5; 7.663
354.8; 7.682
358.3; 7.692
360; 7.721
361.7; 7.738
365.8; 7.747
367.9; 7.765
371.2; 7.779
373; 7.79
373.8; 7.82
378.6; 7.825
379.9; 7.851
390.1; 7.878
393.8; 7.879
394; 7.879
396.5; 7.895
398.1; 7.914
400.9; 7.915
401; 7.937
402.6; 7.954
406.2; 7.963
406.8; 7.963
407.7; 7.965
408.7; 7.992
410.1; 7.992
410.9; 8.015
412.8; 8.03
414.9; 8.032
417.5; 8.036
419.5; 8.039
420.4; 8.041
420.9; 8.043
421.4; 8.053
421.7; 8.056
421.9; 8.063
426.9; 8.078
430.7; 8.081
430.9; 8.103
435.3; 8.111
437; 8.135
440.3; 8.138
450.3; 8.139
450.7; 8.175
451.2; 8.204
455.5; 8.208
458.8; 8.22
459.9; 8.245
463.1; 8.264
469.8; 8.269
470.2; 8.279
470.9; 8.279
472.6; 8.284
473.7; 8.288
474; 8.303
476.6; 8.307
478.6; 8.31
481; 8.335
488; 8.361
491.8; 8.365
493.7; 8.377
502.1; 8.394
506.7; 8.397
506.8; 8.405
508.9; 8.406
510.1; 8.418
510.3; 8.418
513.2; 8.436
513.9; 8.437
516.6; 8.441
516.8; 8.457
518.7; 8.46
521.9; 8.463
522.3; 8.467
522.6; 8.47
522.8; 8.49
526.8; 8.509
529.7; 8.514
532.6; 8.516
534.9; 8.55
538.6; 8.558
540.5; 8.565
545.9; 8.574
550.1; 8.579
557.6; 8.579
561.5; 8.597
566.1; 8.604
568.2; 8.611
570.1; 8.618
570.3; 8.637
574.7; 8.652
574.8; 8.663
581.5; 8.673
581.6; 8.675
581.7; 8.679
584.8; 8.688
585.5; 8.711
594.6; 8.719
595.3; 8.731
595.6; 8.746
599.7; 8.759
603.3; 8.765
611.3; 8.768
616.9; 8.777
624.2; 8.78
626.2; 8.791
629.3; 8.794
631.8; 8.8
632.1; 8.808
634.2; 8.824
635.5; 8.826
636.2; 8.832
638; 8.848
649.6; 8.87
653.6; 8.883
657.1; 8.932
672.9; 8.949
676.5; 8.969
697.4; 8.974
698; 8.996
