Distance; Skill Score
0.952; 2.142
0.99; 2.363
1.982; 2.539
2.786; 2.55
2.811; 2.76
2.959; 2.863
4.836; 2.929
5.689; 2.956
5.787; 3.031
5.911; 3.087
7.917; 3.109
9.571; 3.123
9.617; 3.165
9.699; 3.172
9.71; 3.175
9.877; 3.206
12.53; 3.24
12.72; 3.277
12.86; 3.333
14.51; 3.367
18.4; 3.369
18.46; 3.403
18.61; 3.418
18.81; 3.452
20.41; 3.473
25.3; 3.491
25.56; 3.498
26.45; 3.52
27.33; 3.533
31.34; 3.542
32.06; 3.548
32.2; 3.576
33.16; 3.597
38.25; 3.611
40.9; 3.615
40.92; 3.629
41.79; 3.643
42.75; 3.657
48.11; 3.666
49.76; 3.672
53.81; 3.674
54.78; 3.686
59.67; 3.701
63.8; 3.714
66.54; 3.719
70.67; 3.732
73.45; 3.735
80.57; 3.75
